# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2              SET      1     985      0.15098      0.03409     0.039585   6.8658e-05
skene_InN          SET      1    1329      0.13629     0.035388      0.03461   4.1319e-05
CGE_2              SET      2     985      0.15807     0.035692     0.039333   2.9402e-05
skene_MSN          SET      2    1356      0.20484     0.053682     0.034042   9.0796e-10
CGE_2              SET      3     985      0.16229     0.036644     0.039685   2.1741e-05
bryois_GABA1       SET      3    1314      0.04426     0.011432      0.03453     0.099969
CGE_2              SET      4     985      0.14189     0.032038     0.039962   0.00019279
bryois_GABA2       SET      4    1304      0.13529     0.034823     0.035581    7.195e-05
CGE_2              SET      5     985      0.12451     0.028114     0.042147    0.0015701
CGE_1              SET      5    1010      0.12098     0.027642     0.041206    0.0016649
CGE_2              SET      6     985      0.14175     0.032007     0.039745   0.00018147
LGE_1              SET      6    1043      0.18276     0.042394     0.039285   1.6564e-06
CGE_2              SET      7     985      0.14973     0.033809     0.039857    8.639e-05
LGE_2              SET      7    1027      0.11638     0.026799     0.039073    0.0014511
CGE_2              SET      8     985      0.14605     0.032977     0.040123   0.00013678
LGE_4              SET      8     992      0.11476     0.025998     0.039712    0.0019311
CGE_2              SET      9     985      0.13767     0.031086     0.040273   0.00031577
MGE_2              SET      9    1131      0.13638     0.032857     0.037857   0.00015815
CGE_2              SET     10     985      0.13048     0.029463     0.042039   0.00095688
MGE_3              SET     10    1015      0.10892     0.024943     0.041977    0.0047382
