# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_4 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_4              SET      1     992       0.1316     0.029814     0.039025   0.00037373
skene_InN          SET      1    1329       0.1431     0.037158     0.034473   1.6633e-05
LGE_4              SET      2     992      0.11434     0.025904     0.039222    0.0017796
skene_MSN          SET      2    1356      0.19836     0.051985     0.034296   3.7264e-09
LGE_4              SET      3     992      0.13553     0.030704     0.039421   0.00029389
bryois_GABA1       SET      3    1314      0.04438     0.011463     0.034655      0.10017
LGE_4              SET      4     992      0.11867     0.026885     0.039416     0.001305
bryois_GABA2       SET      4    1304      0.14101     0.036295     0.035457   3.5068e-05
LGE_4              SET      5     992      0.13252     0.030022     0.039015   0.00034215
CGE_1              SET      5    1010      0.15574     0.035582     0.038539   2.6742e-05
LGE_4              SET      6     992      0.11476     0.025998     0.039712    0.0019311
CGE_2              SET      6     985      0.14605     0.032977     0.040123   0.00013678
LGE_4              SET      7     992     0.081965     0.018569     0.041566     0.024319
LGE_1              SET      7    1043      0.17468     0.040517      0.04151   1.2959e-05
LGE_4              SET      8     992      0.10444      0.02366     0.042163    0.0066313
LGE_2              SET      8    1027      0.10051     0.023146     0.041762    0.0080528
LGE_4              SET      9     992     0.099657     0.022577     0.040902    0.0074211
MGE_2              SET      9    1131      0.13528     0.032592     0.038846   0.00024921
LGE_4              SET     10     992      0.11817     0.026772     0.039673    0.0014499
MGE_3              SET     10    1015      0.13196      0.03022     0.040024   0.00048984
