# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3              SET      1    1015      0.13638     0.031233     0.039542   0.00028209
skene_InN          SET      1    1329      0.13744     0.035688     0.034624    3.617e-05
MGE_3              SET      2    1015      0.14189     0.032495     0.039298   0.00015319
skene_MSN          SET      2    1356      0.20436     0.053557     0.034061   1.0113e-09
MGE_3              SET      3    1015      0.14668     0.033592     0.039937   0.00012034
bryois_GABA1       SET      3    1314     0.039878       0.0103       0.0348      0.12593
MGE_3              SET      4    1015      0.12856     0.029442     0.039845   0.00062793
bryois_GABA2       SET      4    1304      0.13836     0.035611     0.035529   4.9502e-05
MGE_3              SET      5    1015      0.12645     0.028959      0.04007   0.00080194
CGE_1              SET      5    1010      0.14012     0.032013     0.039234   0.00017818
MGE_3              SET      6    1015      0.10892     0.024943     0.041977    0.0047382
CGE_2              SET      6     985      0.13048     0.029463     0.042039   0.00095688
MGE_3              SET      7    1015      0.12185     0.027904     0.039911    0.0011349
LGE_1              SET      7    1043      0.18168     0.042141     0.039508   2.1463e-06
MGE_3              SET      8    1015      0.13494     0.030903     0.039826   0.00035267
LGE_2              SET      8    1027      0.11821     0.027221     0.039101    0.0012527
MGE_3              SET      9    1015      0.13196      0.03022     0.040024   0.00048984
LGE_4              SET      9     992      0.11817     0.026772     0.039673    0.0014499
MGE_3              SET     10    1015      0.12155     0.027837     0.040322    0.0012891
MGE_2              SET     10    1131      0.13834     0.033329     0.037959   0.00013451
