# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_GABA2 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_GABA2       SET      1    1304      0.13248     0.034099     0.035716   0.00010432
skene_InN          SET      1    1329      0.12581     0.032666     0.035073    0.0001678
bryois_GABA2       SET      2    1304      0.14592     0.037558     0.035039   1.5695e-05
skene_MSN          SET      2    1356      0.20307     0.053218     0.034059   1.2732e-09
bryois_GABA2       SET      3    1304      0.15403     0.039646      0.03734   1.8631e-05
bryois_GABA1       SET      3    1314     0.010713    0.0027672      0.03649      0.38454
bryois_GABA2       SET      4    1304      0.14332     0.036889     0.035213   2.3627e-05
CGE_1              SET      4    1010      0.14778     0.033764     0.038666   6.6499e-05
bryois_GABA2       SET      5    1304      0.13529     0.034823     0.035581    7.195e-05
CGE_2              SET      5     985      0.14189     0.032038     0.039962   0.00019279
bryois_GABA2       SET      6    1304      0.13312     0.034263     0.035409   8.5504e-05
LGE_1              SET      6    1043      0.18101     0.041987     0.039309   2.0815e-06
bryois_GABA2       SET      7    1304      0.14439     0.037163      0.03528   2.1451e-05
LGE_2              SET      7    1027       0.1207     0.027794     0.038845   0.00094642
bryois_GABA2       SET      8    1304      0.14101     0.036295     0.035457   3.5068e-05
LGE_4              SET      8     992      0.11867     0.026885     0.039416     0.001305
bryois_GABA2       SET      9    1304      0.13255     0.034117     0.035693   0.00010252
MGE_2              SET      9    1131      0.13707     0.033025     0.037683   0.00013809
bryois_GABA2       SET     10    1304      0.13836     0.035611     0.035529   4.9502e-05
MGE_3              SET     10    1015      0.12856     0.029442     0.039845   0.00062793
