# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_4 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_4                  SET      1     992     0.097697     0.022133     0.039579    0.0067922
fetal_FC_ExN_2         SET      1    1181      0.23269     0.057203     0.037408   2.5495e-10
LGE_4                  SET      2     992      0.12283     0.027827     0.039191   0.00086359
fetal_FC_ExN_3         SET      2    1069      0.17316     0.040633     0.038964   4.4437e-06
LGE_4                  SET      3     992      0.10789     0.024443     0.040082     0.003558
fetal_FC_ExN_4         SET      3    1157      0.13994     0.034075     0.037701   0.00010325
LGE_4                  SET      4     992      0.14552     0.032968     0.038924   9.2884e-05
fetal_GE_InN_2         SET      4    1022      0.16311     0.037476     0.038897   1.3815e-05
LGE_4                  SET      5     992      0.13047     0.029557     0.039121   0.00042761
fetal_Hipp_ExN_3       SET      5    1105      0.12543     0.029893     0.037578   0.00042315
LGE_4                  SET      6     992      0.13174     0.029845     0.039256   0.00039663
fetal_Hipp_ExN_5       SET      6    1005     0.092229     0.021023     0.039604    0.0099419
LGE_4                  SET      7     992      0.13259     0.030037     0.039017   0.00034009
mouse_InN              SET      7    1205      0.14381     0.035686      0.03601   3.2709e-05
LGE_4                  SET      8     992      0.11792     0.026714     0.039275    0.0013417
mouse_MSN              SET      8     973      0.19268     0.043256     0.040243   8.5092e-07
LGE_4                  SET      9     992       0.1161     0.026303     0.039177    0.0015228
mouse_CA1              SET      9    1287      0.20536     0.052538     0.035104   2.5113e-09
LGE_4                  SET     10     992      0.12295     0.027855     0.039135   0.00084133
mouse_SS               SET     10    1249      0.17274     0.043583     0.035279   4.9376e-07
LGE_4                  SET     11     992      0.12757       0.0289     0.039285   0.00058401
adult_exCA1            SET     11    1334      0.10272     0.026719     0.034134    0.0013109
LGE_4                  SET     12     992      0.13166     0.029828     0.039284   0.00040287
adult_exCA3            SET     12    1339     0.076463     0.019923     0.033981     0.012227
LGE_4                  SET     13     992      0.12945     0.029326     0.039362   0.00050466
adult_exPFC1           SET     13    1348     0.081937     0.021415     0.033948    0.0079042
LGE_4                  SET     14     992      0.12295     0.027854     0.039417   0.00090867
adult_exDG             SET     14    1321      0.11607     0.030054     0.035109   0.00047442
LGE_4                  SET     15     992      0.13529     0.030649     0.039212     0.000281
adult_exPFC2           SET     15    1352     0.059392     0.015544     0.033851      0.03968
LGE_4                  SET     16     992      0.13553     0.030704     0.039421   0.00029389
adult_GABA1            SET     16    1314      0.04438     0.011463     0.034655      0.10017
LGE_4                  SET     17     992      0.11867     0.026885     0.039416     0.001305
adult_GABA2            SET     17    1304      0.14101     0.036295     0.035457   3.5068e-05
LGE_4                  SET     18     992      0.13252     0.030022     0.039015   0.00034215
CGE_1                  SET     18    1010      0.15574     0.035582     0.038539   2.6742e-05
LGE_4                  SET     19     992      0.11476     0.025998     0.039712    0.0019311
CGE_2                  SET     19     985      0.14605     0.032977     0.040123   0.00013678
LGE_4                  SET     20     992     0.081965     0.018569     0.041566     0.024319
LGE_1                  SET     20    1043      0.17468     0.040517      0.04151   1.2959e-05
LGE_4                  SET     21     992      0.10444      0.02366     0.042163    0.0066313
LGE_2                  SET     21    1027      0.10051     0.023146     0.041762    0.0080528
LGE_4                  SET     22     992     0.099657     0.022577     0.040902    0.0074211
MGE_2                  SET     22    1131      0.13528     0.032592     0.038846   0.00024921
LGE_4                  SET     23     992      0.11817     0.026772     0.039673    0.0014499
MGE_3                  SET     23    1015      0.13196      0.03022     0.040024   0.00048984
