# TOTAL_GENES = 18054
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1032     0.069352     0.016101     0.032304     0.015913
CGE_1               SET    1005     0.076701     0.017586     0.032337    0.0088556
CGE_2               SET     978     0.016934    0.0038331     0.033108      0.30452
CGE_3               SET    1003     0.022896    0.0052447     0.032484      0.24046
Early_InN_0         SET     927     0.037231    0.0082173     0.033476      0.13304
Early_InN_1         SET     943     0.013127    0.0029208     0.033289      0.34667
Early_InN_2         SET    1050     0.033369      0.00781     0.031108      0.14171
Early_InN_3         SET     954  -0.00065591  -0.00014674     0.033049      0.50792
Early_InN_4         SET     906     0.027004    0.0058958     0.033626      0.21097
Early_InN_5         SET     789   -0.0037977   -0.0007764     0.037127      0.54074
LGE_0               SET    1021     0.037653    0.0086976     0.032601      0.12406
LGE_1               SET    1036     0.017571    0.0040867     0.033188      0.29825
LGE_2               SET    1023     0.047938     0.011083     0.032727       0.0715
LGE_3               SET    1080    0.0092376    0.0021908     0.032148      0.38693
LGE_4               SET     987     0.011683     0.002656     0.033038      0.36181
LGE_5               SET    1000     0.061788     0.014134     0.032806     0.029833
LGE_6               SET     954     0.038654    0.0086478     0.033097      0.12144
LGE_7               SET     659    0.0084443    0.0015837     0.039004       0.4143
MGE_0               SET    1048     0.084837     0.019838     0.031819    0.0038398
MGE_1               SET    1021     0.037416    0.0086428     0.032117      0.12202
MGE_2               SET    1119   -0.0028047   -0.0006763     0.030977      0.53607
MGE_3               SET    1011     0.011939    0.0027451     0.032486      0.35662
MGE_4               SET     965     0.040677    0.0091498     0.032925      0.10834
MGE_5               SET     995     0.061663     0.014072     0.032699     0.029673
Microglia           SET    1213    -0.078298    -0.019602     0.030546      0.99481
Progenitor_0        SET    1173     0.003465   0.00085406     0.029962      0.45397
Progenitor_1        SET    1134   -0.0027589  -0.00066939     0.029966      0.53668
Progenitor_10       SET    1067     0.029374     0.006927     0.032036       0.1796
Progenitor_2        SET    1241      0.02573    0.0065101     0.029009      0.18756
Progenitor_3        SET    1239    -0.015786   -0.0039912     0.029574      0.70325
Progenitor_4        SET    1027     0.019132    0.0044315     0.032042      0.27523
Progenitor_5        SET    1100     0.069156     0.016542     0.031906     0.015107
Progenitor_6        SET    1053    -0.046404    -0.010876     0.031448      0.92996
Progenitor_7        SET    1147    -0.022543   -0.0054987     0.030648      0.76899
Progenitor_8        SET    1171    -0.054753    -0.013485     0.029968      0.96614
Progenitor_9        SET    1051     0.016618    0.0038913     0.031633      0.29967
