# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18260
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1040    -0.012301   -0.0028509     0.029768      0.66028
CGE_1               SET    1010    0.0068366    0.0015628     0.029776       0.4092
CGE_2               SET     985     0.055354     0.012505     0.030027     0.032638
CGE_3               SET    1008     0.061076     0.013949     0.029887     0.020506
Early_InN_0         SET     932     0.026709    0.0058782     0.030209      0.18832
Early_InN_1         SET     949   -0.0075847   -0.0016836     0.030523      0.59812
Early_InN_2         SET    1055    -0.050519    -0.011787     0.028792      0.96033
Early_InN_3         SET     964   -0.0032243  -0.00072105     0.030096      0.54266
Early_InN_4         SET     912    -0.027184   -0.0059217     0.030206      0.81592
Early_InN_5         SET     799    0.0074956    0.0015333     0.032815      0.40966
LGE_0               SET    1030     0.017872    0.0041233     0.030318      0.27778
LGE_1               SET    1040     0.036225    0.0083955     0.030314      0.11606
LGE_2               SET    1026     0.058865     0.013556     0.030218     0.025719
LGE_3               SET    1088     0.039459    0.0093407     0.029677     0.091836
LGE_4               SET     992      0.10414     0.023604     0.030182   0.00028079
LGE_5               SET    1005      0.03359    0.0076605     0.030184       0.1329
LGE_6               SET     965    -0.014537   -0.0032524     0.029998      0.68601
LGE_7               SET     665    -0.022359   -0.0041886     0.036488      0.72999
MGE_0               SET    1054     0.038705     0.009027     0.029152     0.092152
MGE_1               SET    1029     0.038003    0.0087638     0.029492     0.098778
MGE_2               SET    1129     0.062602     0.015078     0.029218     0.016082
MGE_3               SET    1015     0.016358    0.0037479     0.029957      0.29252
MGE_4               SET     971     0.061437     0.013786     0.030924     0.023488
MGE_5               SET    1002      0.11187     0.025478     0.029816   8.8048e-05
Microglia           SET    1219     -0.02578   -0.0064349     0.027271      0.82774
Progenitor_0        SET    1181      0.04906     0.012067     0.027519      0.03732
Progenitor_1        SET    1142    -0.045623    -0.011047     0.027689      0.95028
Progenitor_10       SET    1073     0.034341    0.0080765     0.029228      0.12002
Progenitor_2        SET    1250    0.0098112    0.0024777     0.026433      0.35526
Progenitor_3        SET    1250     -0.01641    -0.004144     0.027013      0.72823
Progenitor_4        SET    1035     0.035894       0.0083     0.029085      0.10859
Progenitor_5        SET    1108     0.028483    0.0068002     0.028781      0.16118
Progenitor_6        SET    1063    -0.010781   -0.0025245     0.029048      0.64474
Progenitor_7        SET    1156    -0.019399   -0.0047241     0.027708      0.75807
Progenitor_8        SET    1180    -0.032395   -0.0079647     0.027789      0.87813
Progenitor_9        SET    1061    0.0053823    0.0012592     0.028821      0.42593
