# TOTAL_GENES = 18229
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1038      0.12677     0.029377     0.035673   0.00019059
CGE_1               SET    1008      0.15508     0.035447     0.036934   1.3482e-05
CGE_2               SET     985      0.11792      0.02666     0.036387    0.0005976
CGE_3               SET    1007      0.11481     0.026228      0.03682    0.0009119
Early_InN_0         SET     931      0.16184      0.03563     0.038269   1.1798e-05
Early_InN_1         SET     949     0.084151     0.018694     0.037864     0.013134
Early_InN_2         SET    1056    0.0040927   0.00095611     0.034984      0.45344
Early_InN_3         SET     962     0.027351    0.0061154     0.036958      0.22964
Early_InN_4         SET     912     -0.02198   -0.0047919     0.037702      0.72004
Early_InN_5         SET     799      0.15224     0.031168     0.041027   0.00010368
LGE_0               SET    1026      0.12611     0.029066     0.036502   0.00027597
LGE_1               SET    1043      0.20372     0.047316     0.037032   1.9173e-08
LGE_2               SET    1026      0.14358     0.033091     0.037521    6.523e-05
LGE_3               SET    1086      0.11398     0.026979     0.035824    0.0007338
LGE_4               SET     991      0.14346     0.032529     0.037471   6.4694e-05
LGE_5               SET    1005      0.10201     0.023283     0.036769    0.0027689
LGE_6               SET     962      0.16734     0.037416      0.03782   4.8601e-06
LGE_7               SET     663   -0.0032841  -0.00061483     0.043393      0.53016
MGE_0               SET    1051      0.13336     0.031086     0.036427   0.00012602
MGE_1               SET    1026      0.12564     0.028956      0.03629   0.00026884
MGE_2               SET    1130      0.19959      0.04813     0.035792   1.2485e-08
MGE_3               SET    1014      0.13713     0.031431     0.037067   0.00010835
MGE_4               SET     968      0.13869     0.031101     0.037477   0.00010786
MGE_5               SET    1001      0.13391     0.030507     0.037039   0.00015046
Microglia           SET    1221     -0.15881    -0.039702     0.033224            1
Progenitor_0        SET    1181     0.045697     0.011249     0.033825     0.088357
Progenitor_1        SET    1141    -0.015377    -0.003725     0.033779      0.67553
Progenitor_10       SET    1074    -0.053776    -0.012663     0.036625      0.92898
Progenitor_2        SET    1250     0.028239    0.0071369     0.032851      0.19501
Progenitor_3        SET    1251    -0.028286   -0.0071515     0.032894      0.80508
Progenitor_4        SET    1037    -0.024945   -0.0057782     0.035504      0.75884
Progenitor_5        SET    1110    0.0031979   0.00076473     0.035194       0.4638
Progenitor_6        SET    1061    -0.024853   -0.0058189     0.034964      0.76139
Progenitor_7        SET    1156    -0.027881   -0.0067949     0.034028       0.7937
Progenitor_8        SET    1179    -0.081029     -0.01993      0.03367      0.99194
Progenitor_9        SET    1062    -0.030203   -0.0070747     0.035175      0.80473
