# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     933      0.18342     0.040368     0.040326   2.7237e-06
CGE_1               SET     936      0.15268     0.033653     0.040101   7.0526e-05
CGE_2               SET     951      0.14685     0.032613     0.039188   8.9704e-05
CGE_3               SET     911      0.14731     0.032057     0.040261   0.00012706
Early_InN_0         SET     926      0.11133     0.024414     0.039625     0.002484
Early_InN_1         SET     970     0.058748     0.013169     0.038718     0.064605
Early_InN_2         SET    1058  -0.00025945  -6.0587e-05      0.03662      0.50283
Early_InN_3         SET    1023     0.035309    0.0081161     0.037586      0.17376
Early_InN_4         SET     999     0.029164     0.006629     0.038453       0.2241
Early_InN_5         SET     915      0.09283     0.020243     0.040506     0.010967
LGE_0               SET     935       0.1038     0.022868     0.039671     0.004445
LGE_1               SET     957       0.2178     0.048513     0.040234   3.1438e-08
LGE_2               SET     956      0.15831     0.035245     0.039659   3.2955e-05
LGE_3               SET    1018      0.13491     0.030939     0.039298   0.00029933
LGE_4               SET     976      0.23827     0.053567     0.040208   1.5881e-09
LGE_5               SET     970      0.11198     0.025101     0.039284    0.0021863
LGE_6               SET     952      0.15145      0.03365      0.03967   6.7628e-05
LGE_7               SET     715     0.022624    0.0043862     0.044197      0.30436
MGE_0               SET     904      0.11448     0.024822     0.041986    0.0032027
MGE_1               SET     895      0.08956     0.019326     0.040464     0.013445
MGE_2               SET    1021      0.20545     0.047182     0.039048    7.246e-08
MGE_3               SET     917      0.19032     0.041546     0.040298   1.1732e-06
MGE_4               SET     897      0.14623      0.03159     0.040765   0.00016765
MGE_5               SET     967      0.13703     0.030672     0.039853   0.00029356
Microglia           SET    1173     -0.12296    -0.030132     0.036343      0.99964
Progenitor_0        SET    1075     0.015387    0.0036202     0.037881       0.3423
Progenitor_1        SET    1075    -0.035032   -0.0082421     0.037235       0.8266
Progenitor_10       SET    1094     0.024826    0.0058889     0.037733       0.2553
Progenitor_2        SET    1117    0.0091971     0.002203     0.036492      0.40051
Progenitor_3        SET    1150    -0.032932   -0.0079961       0.0366      0.81587
Progenitor_4        SET    1018    -0.045356    -0.010401     0.037346      0.88771
Progenitor_5        SET    1060     0.021391    0.0049996     0.037545      0.28443
Progenitor_6        SET    1029     0.018507    0.0042657     0.037955      0.31292
Progenitor_7        SET    1110    -0.024882   -0.0059426     0.036368      0.75307
Progenitor_8        SET    1114     -0.06026    -0.014416       0.0368      0.94922
Progenitor_9        SET    1077    0.0011716   0.00027589     0.036993      0.48737
