Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_skene_InN.100UP_100DOWN	0.10145929675756006	0.15874218459580214	0.00991199985285895	1.5645898371947244	0.0976943480748143	2.3865056847274312e-08	1.7516557480125252e-08	5.3205555759190054e-09	3.292242178505891
CGE_1_vs_skene_MSN.100UP_100DOWN	0.10145929675756006	0.15870095486089764	0.009783421333252882	1.5641834699497097	0.09642705642471239	1.4908732049209086e-08	1.763293556417574e-08	5.249251592010179e-09	3.359133250731326
CGE_2_vs_skene_InN.100UP_100DOWN	0.11318335914207288	0.1721781051361858	0.009987158684067878	1.521231623105125	0.08823875488208072	1.8267809546805968e-08	1.639037258856161e-08	5.003272720945155e-09	3.275930276586112
CGE_2_vs_skene_MSN.100UP_100DOWN	0.11318335914207288	0.17183760606023613	0.010034739100614191	1.5182232384933705	0.0886591383810948	2.417335476067555e-08	1.5543179030821563e-08	4.994691495267615e-09	3.111939755548158
LGE_1_vs_skene_InN.100UP_100DOWN	0.12497905189242561	0.18632890743557795	0.009248028339680678	1.49088110858737	0.0739966274319381	4.774838251396288e-10	1.4377124258354843e-08	4.236910559550048e-09	3.393303695294825
LGE_1_vs_skene_MSN.100UP_100DOWN	0.12497905189242561	0.18627563255659052	0.009292478801290737	1.4904548381189937	0.07435229072860257	7.071538460964915e-10	1.1703024628397339e-08	4.307031233017899e-09	2.717190564740143
LGE_2_vs_skene_InN.100UP_100DOWN	0.1132729390375261	0.1750590302615004	0.010864711031607495	1.5454620648935864	0.09591621020805449	8.270126623433446e-08	1.8306729354007944e-08	5.423170387585812e-09	3.3756507809369047
LGE_2_vs_skene_MSN.100UP_100DOWN	0.1132729390375261	0.17464212866015114	0.010858780666223448	1.5417815600449292	0.09586385555535071	9.620038057965999e-08	1.5906615855468705e-08	5.354739355354357e-09	2.970567715786806
LGE_4_vs_skene_InN.100UP_100DOWN	0.11310904473442161	0.17716666123162333	0.010479029119172038	1.5663350499299864	0.09264536840335488	8.332554330771512e-09	1.8793157095219654e-08	5.178630565934531e-09	3.6289819974497943
LGE_4_vs_skene_MSN.100UP_100DOWN	0.11310904473442161	0.1759458232793668	0.010523005191148209	1.5555415899098524	0.09303416199700096	1.8491212608677897e-08	1.379687660135448e-08	5.141171805699964e-09	2.6836054352546683
