Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_fetal_FC_ExN_2.100UP_100DOWN	0.10145929675756006	0.11177309143136727	0.01803719894227611	1.101654505830573	0.1777776854237076	0.5688945195751492	1.0939768731196495e-09	6.9768542832336504e-09	0.15680087740238863
CGE_1_vs_fetal_FC_ExN_3.100UP_100DOWN	0.10145929675756006	0.11174398794222387	0.018118538167513465	1.1013676569160475	0.17857937859364667	0.5716025575843398	2.413201486639885e-09	6.980988632408623e-09	0.3456819103581992
CGE_1_vs_fetal_FC_ExN_4.100UP_100DOWN	0.10145929675756006	0.11182369273673166	0.01814997974217578	1.102153240860102	0.1788892720747482	0.5693594525116024	2.3614638554561836e-09	7.055507009944967e-09	0.33469796743559654
CGE_1_vs_fetal_GE_InN_2.100UP_100DOWN	0.10145929675756006	0.11182796547619497	0.01802359256189452	1.1021953537033786	0.17764357863589786	0.5664046975119552	2.0155424015308017e-09	7.093998186338141e-09	0.2841193849488714
CGE_1_vs_fetal_Hipp_ExN_3.100UP_100DOWN	0.10145929675756006	0.1121612021160069	0.018018464283248728	1.1054797904229452	0.1775930334536457	0.5540285639861722	1.4698040224955048e-09	7.1284446281867274e-09	0.20618860062175737
CGE_1_vs_fetal_Hipp_ExN_5.100UP_100DOWN	0.10145929675756006	0.11167366060667636	0.018133546592671294	1.100674498794564	0.17872730417205562	0.5745083708108403	2.631066192014572e-09	7.120778086674461e-09	0.36949138984379304
CGE_1_vs_mouse_InN.100UP_100DOWN	0.10145929675756006	0.11172593289209543	0.01806517238090919	1.1011897032863118	0.17805339636915132	0.5711196812569457	2.4927367643368673e-09	7.076367065656748e-09	0.35226221890533316
CGE_1_vs_mouse_MSN.100UP_100DOWN	0.10145929675756006	0.1113220202661852	0.01793984789462534	1.0972086720864271	0.17681817702219177	0.5837501743342208	2.3593046257443514e-09	6.985405186031371e-09	0.3377477129690664
CGE_1_vs_mouse_CA1.100UP_100DOWN	0.10145929675756006	0.11177046784601316	0.01799259831088272	1.1016286473293024	0.1773380940524017	0.5679678660766907	2.360116953438091e-09	6.92935854242171e-09	0.3405967434055252
CGE_1_vs_mouse_SS.100UP_100DOWN	0.10145929675756006	0.11206285415064055	0.018050744355872627	1.1045104562317043	0.17791119131256553	0.558377756047419	2.199937394780797e-09	7.0520768771674086e-09	0.31195595752842115
CGE_1_vs_adult_exCA1.100UP_100DOWN	0.10145929675756006	0.11182898943020773	0.018080448825446266	1.1022054459674242	0.17820396359192223	0.5676762228856734	1.94422108411358e-09	7.065401227558886e-09	0.2751749011124897
CGE_1_vs_adult_exCA3.100UP_100DOWN	0.10145929675756006	0.11128280683845086	0.017966845858384102	1.096822177906125	0.177084273522183	0.5857600201570535	2.327391403805509e-09	6.951419470420362e-09	0.334808079660422
CGE_1_vs_adult_exPFC1.100UP_100DOWN	0.10145929675756006	0.11168501875746824	0.01806737155434967	1.100786446651043	0.17807507179477283	0.5728083363842726	2.2104175760622177e-09	7.001092909696113e-09	0.31572464536228567
CGE_1_vs_adult_exDG.100UP_100DOWN	0.10145929675756006	0.11206528725071863	0.018125502254302234	1.1045344372778563	0.1786480178116516	0.5598668964965556	2.451124690767224e-09	7.080172221015261e-09	0.34619563115877783
CGE_1_vs_adult_exPFC2.100UP_100DOWN	0.10145929675756006	0.11172267872062447	0.018083278881511945	1.1011576296215522	0.17823185710346945	0.5716910419282741	2.5545983089899425e-09	7.023135281192947e-09	0.36374043880812434
CGE_1_vs_adult_GABA1.100UP_100DOWN	0.10145929675756006	0.11118579507141119	0.018006194305909388	1.0958660135117324	0.17747209848039566	0.5902804319577395	2.1365626336377524e-09	7.042547212616417e-09	0.3033792417905546
CGE_1_vs_adult_GABA2.100UP_100DOWN	0.10145929675756006	0.11103447012446455	0.01797498403765009	1.0943745292241147	0.177164484794349	0.5954502751782649	2.3663020730332733e-09	6.923007739790281e-09	0.34180260400878243
CGE_2_vs_fetal_FC_ExN_2.100UP_100DOWN	0.11318335914207288	0.1317207724409611	0.016138256147041233	1.16378214464919	0.14258506081961894	0.2534918025755995	1.9855815814492954e-09	5.722811167350536e-09	0.34695912959304426
CGE_2_vs_fetal_FC_ExN_3.100UP_100DOWN	0.11318335914207288	0.13231784009213957	0.0163513688223226	1.1690573693439177	0.14446795841955548	0.2448137725134942	4.153383979451061e-09	5.8302167628197845e-09	0.7123892898696063
CGE_2_vs_fetal_FC_ExN_4.100UP_100DOWN	0.11318335914207288	0.13239585882338956	0.016326567880473677	1.1697466820824807	0.1442488366154589	0.24230024007967133	4.07550640171716e-09	5.736331419056515e-09	0.7104726181228003
CGE_2_vs_fetal_GE_InN_2.100UP_100DOWN	0.11318335914207288	0.13185570742671843	0.016257731154031656	1.1649743250790707	0.1436406489192834	0.25349039436838183	3.753296428124442e-09	5.708823504933093e-09	0.6574553276837433
CGE_2_vs_fetal_Hipp_ExN_3.100UP_100DOWN	0.11318335914207288	0.13238503607531685	0.016130226279815328	1.1696510607106223	0.1425141151674774	0.23665083451972393	3.0969309616292916e-09	5.79390046490812e-09	0.5345157343289644
CGE_2_vs_fetal_Hipp_ExN_5.100UP_100DOWN	0.11318335914207288	0.13230637888418206	0.016358929804349265	1.1689561070378296	0.1445347613673031	0.24510948412289807	4.391614126755287e-09	5.900672727429516e-09	0.7442565160986968
CGE_2_vs_mouse_InN.100UP_100DOWN	0.11318335914207288	0.13249949336621256	0.016295730367219072	1.1706623161792997	0.14397638036845975	0.23861961309778412	4.197683853688225e-09	5.92452032511469e-09	0.7085272095183444
CGE_2_vs_mouse_MSN.100UP_100DOWN	0.11318335914207288	0.13239567591390503	0.016358550367340234	1.169745066036748	0.14453140895744437	0.24299488325575422	3.9920596330562435e-09	5.752651905071053e-09	0.6939511896308518
CGE_2_vs_mouse_CA1.100UP_100DOWN	0.11318335914207288	0.1320802698181383	0.016262609915407608	1.1669583834523338	0.14368375385461077	0.24789366334372748	3.4656435473522895e-09	5.645918265317803e-09	0.6138316894598566
CGE_2_vs_mouse_SS.100UP_100DOWN	0.11318335914207288	0.13262577673681447	0.016370057981930104	1.1717780576766288	0.14463308127638858	0.2379518978097044	3.4917439082173592e-09	5.713825878645302e-09	0.6111043602618884
CGE_2_vs_adult_exCA1.100UP_100DOWN	0.11318335914207288	0.1329133159715251	0.01630131061594028	1.1743185303829538	0.14402568309956357	0.22931219088509164	3.4313163954644407e-09	5.765301950598313e-09	0.5951668143085453
CGE_2_vs_adult_exCA3.100UP_100DOWN	0.11318335914207288	0.13203474021467343	0.01621238016282725	1.1665561193402774	0.14323996288603466	0.24767091700631094	3.870158423171832e-09	5.661023590115268e-09	0.6836499374299603
CGE_2_vs_adult_exPFC1.100UP_100DOWN	0.11318335914207288	0.13249927164970499	0.016416504467977117	1.1706603572649394	0.14504344624875798	0.24228812362121988	3.826058783995778e-09	5.7576619796841265e-09	0.664516047919451
CGE_2_vs_adult_exDG.100UP_100DOWN	0.11318335914207288	0.1327604102229277	0.01626200275489163	1.1729675742905	0.14367838945722425	0.23132365758195067	3.830529301652927e-09	5.790087043566115e-09	0.6615667904180079
CGE_2_vs_adult_exPFC2.100UP_100DOWN	0.11318335914207288	0.13249844764953891	0.016391206092059307	1.1706530770413066	0.14481992950469266	0.24157823792236857	4.2739241247789485e-09	5.710382775326253e-09	0.748447922483579
CGE_2_vs_adult_GABA1.100UP_100DOWN	0.11318335914207288	0.13188564806664854	0.016276473443708105	1.165238857251972	0.14380624119202132	0.25344923355052107	3.505554312016565e-09	5.7405772051366e-09	0.6106623405186219
CGE_2_vs_adult_GABA2.100UP_100DOWN	0.11318335914207288	0.13200209307417798	0.016274816727633607	1.1662676746365424	0.1437916037392451	0.25061558354340824	4.26551697381941e-09	5.593273310210706e-09	0.7626155092461809
LGE_1_vs_fetal_FC_ExN_2.100UP_100DOWN	0.12497905189242561	0.16733195116649144	0.017882640029898967	1.3388799853476296	0.14308509913558362	0.020249443067313595	6.876304986167712e-09	6.257673923127344e-09	1.0988595875464218
LGE_1_vs_fetal_FC_ExN_3.100UP_100DOWN	0.12497905189242561	0.16659129440910983	0.018002726207052115	1.3329537381392644	0.14404594957679603	0.023396833254596097	8.617670275008676e-09	6.050067933865773e-09	1.4243923157904606
LGE_1_vs_fetal_FC_ExN_4.100UP_100DOWN	0.12497905189242561	0.16658048216615695	0.017903859466979286	1.3328672256974659	0.14325488308544573	0.022687652740411908	8.140873246433751e-09	5.984074411621931e-09	1.3604231308726722
LGE_1_vs_fetal_GE_InN_2.100UP_100DOWN	0.12497905189242561	0.16656337163652463	0.01791429956674097	1.3327303185168364	0.14333841788270657	0.022705492774625177	8.798875043886127e-09	5.97811968295616e-09	1.471846585636625
