Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_fetal_FC_ExN_2.100UP_100DOWN	0.10145929675756006	0.13520752893908253	0.010965420006898501	1.3326282879938036	0.10807703539578725	0.0024179845986534287	2.264352195186734e-09	9.513441063748818e-10	2.3801610584577
CGE_1_vs_fetal_FC_ExN_3.100UP_100DOWN	0.10145929675756006	0.13541397581507036	0.01107093909180743	1.3346630633429877	0.10911704935489314	0.002484713598826061	2.407709381033602e-09	9.471993692755563e-10	2.541924603344155
CGE_1_vs_fetal_FC_ExN_4.100UP_100DOWN	0.10145929675756006	0.13560382439151306	0.01104819042963662	1.336534243042728	0.10889283469051232	0.002302158013803782	2.3975721693771412e-09	9.62940704872657e-10	2.4898440342639847
CGE_1_vs_fetal_GE_InN_2.100UP_100DOWN	0.10145929675756006	0.13561224576153513	0.010976414911644729	1.3366172454909138	0.10818540303776392	0.002140003890092437	2.2947573251009946e-09	9.501403361497657e-10	2.415177250973254
CGE_1_vs_fetal_Hipp_ExN_3.100UP_100DOWN	0.10145929675756006	0.13599072867116724	0.011053068824863857	1.3403476371033898	0.10894091697950052	0.002110191386778594	2.2148591336425932e-09	9.521605921448598e-10	2.3261403085936885
CGE_1_vs_fetal_Hipp_ExN_5.100UP_100DOWN	0.10145929675756006	0.13614090398176867	0.011039476175888144	1.3418277903806226	0.10880694553075104	0.001969761035851782	2.290375154103096e-09	9.593594260889925e-10	2.3874004797557857
CGE_1_vs_mouse_InN.100UP_100DOWN	0.10145929675756006	0.13555911427095457	0.011033049070512528	1.3360935725276808	0.10874359889243387	0.0023169965925427336	2.4196108207082742e-09	9.557665986100502e-10	2.5315917340353384
CGE_1_vs_mouse_MSN.100UP_100DOWN	0.10145929675756006	0.13545047942031002	0.011049594140385671	1.335022849054167	0.10890666990122155	0.002412658665563085	2.4739409827639844e-09	9.650526957559788e-10	2.563529425536717
CGE_1_vs_mouse_CA1.100UP_100DOWN	0.10145929675756006	0.13518534936695417	0.011017400543400344	1.332409682377195	0.10858936436083076	0.0025373911391207453	2.436323384807199e-09	9.562307935461377e-10	2.547840334415718
CGE_1_vs_mouse_SS.100UP_100DOWN	0.10145929675756006	0.13543078614318796	0.011006394656060185	1.3348287487819255	0.10848088847254958	0.002355463330789622	2.402916124102222e-09	9.621851480401048e-10	2.497353164301873
