Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0.100UP_100DOWN	0.08908687052299728	0.12267919071831283	0.007644573890846941	1.3770737483324647	0.08581033148844909	1.8210544002400598e-05	-2.0349580002058673e-08	8.413691595707463e-09	-2.4186268025845776
CGE_0.35UP_10DOWN	0.044972630322392	0.057741895154072916	0.005148119687212997	1.2839341337196162	0.11447228348237691	0.013951326771148909	-3.067590266648311e-08	1.0823162112685373e-08	-2.83428284147469
CGE.100UP_100DOWN	0.07726718914895576	0.1063887648884792	0.007226969602551636	1.376894462711499	0.09353219241118603	9.297592059450706e-05	-6.526372164334252e-09	8.457380423234774e-09	-0.771677734444166
CGE_1.100UP_100DOWN	0.09308374428529755	0.1251399251934582	0.007789623350528892	1.344380011292948	0.08368403538489	5.625272464235809e-05	-1.533862845645596e-08	7.523677448466982e-09	-2.0387142539691605
CGE_1.35UP_10DOWN	0.04882171403245577	0.06258572429719876	0.005103661850076905	1.2819239458818044	0.10453672000708712	0.0073935094524998374	-1.9997117138051357e-08	9.2096062461757e-09	-2.1713324764948756
CGE_2.100UP_100DOWN	0.10337318632165322	0.13046001704908378	0.009053107298015721	1.2620295619325101	0.08757693963158218	0.0034641055148787294	-1.3958473099667219e-08	9.141755491373262e-09	-1.5268919752709766
CGE_2.35UP_10DOWN	0.057191227410642795	0.06641972343406992	0.006649620445829143	1.161362090678085	0.11626993766165798	0.1679212282656109	-1.6361966739835558e-08	1.1611317590214605e-08	-1.4091395410306016
CGE_3.100UP_100DOWN	0.08369563703970989	0.14175116458629117	0.009307040897976916	1.6936505844269574	0.11120102823951426	1.044198881691731e-08	6.0106078750508405e-09	1.1493080697110982e-08	0.5229762179048937
CGE_3.35UP_10DOWN	0.040339470898192786	0.074926639030645	0.007680781613043434	1.8574026223532278	0.19040362806016708	1.9291756769149193e-05	1.4185760456488905e-08	1.8145220920736558e-08	0.7817904515164796
CGE.35UP_10DOWN	0.04059428711765615	0.053003198669927414	0.005239507984695018	1.3056812284030506	0.12907008243571638	0.01891458888765994	-1.1032443592088385e-08	1.1583762929473772e-08	-0.9524058511260958
Early_InN_0.100UP_100DOWN	0.08081247287649936	0.135375542689644	0.008778905619660445	1.6751812915876236	0.10863305263627679	8.270160515873184e-09	1.269783913961425e-08	1.0877915299360814e-08	1.1673044687487477
Early_InN_0.35UP_10DOWN	0.03788491466172937	0.06953045785404925	0.006788992638074631	1.8353072317802424	0.179200420502273	7.320713803220748e-06	1.864445788544095e-08	1.669795868722997e-08	1.1165710872011916
Early_InN.100UP_100DOWN	0.06618662578870987	0.1277684197999647	0.011054538378218568	1.9304265518511967	0.16702072732198797	1.226102715284083e-07	2.8026865797028506e-08	1.6123210550036934e-08	1.7382931091825446
Early_InN_1.100UP_100DOWN	0.0849046301231019	0.15685940349256627	0.011212674180491385	1.8474776141788531	0.1320619872465648	3.7740358351337945e-09	2.5356472760950644e-08	1.348289087745277e-08	1.880640657216464
Early_InN_1.35UP_10DOWN	0.03886811272774304	0.08067894237410142	0.00820208968615501	2.0757103114120308	0.21102361577490675	1.6221024015589397e-06	3.1917458920530096e-08	1.9828307701088154e-08	1.6096915279753554
Early_InN_2.100UP_100DOWN	0.08232392392150586	0.13395875256310408	0.007767776844895326	1.627215348612767	0.09435625119499574	5.682895557297932e-10	-7.87659596216814e-09	9.679931573612162e-09	-0.8137036819185811
Early_InN_2.35UP_10DOWN	0.032975298930962925	0.05963647799274227	0.005195571027026893	1.8085197079667779	0.15755948226290045	8.443054128991615e-07	-5.82261533686958e-09	1.4717759222539359e-08	-0.39561833080898595
Early_InN_3.100UP_100DOWN	0.08558218292785011	0.14070027275847186	0.00831981895355737	1.6440369706050726	0.09721438118225352	3.7830397414137345e-10	-1.0928519101864852e-10	1.013953104301734e-08	-0.010778130719754395
Early_InN_3.35UP_10DOWN	0.03739239298934989	0.06778808788688288	0.006505585360824235	1.8128844523588075	0.17398151978872164	4.8721148049013475e-06	1.992946418276207e-09	1.6435172566473162e-08	0.12126105827094914
Early_InN.35UP_10DOWN	0.02736179323517457	0.06511460286633286	0.008455934463661122	2.3797637204065154	0.30904167687338246	1.4108785834832515e-05	5.1512202995653226e-08	2.7711746970646906e-08	1.8588580160686534
Early_InN_4.100UP_100DOWN	0.08134173237117144	0.15277101330062018	0.014781500180309217	1.8781381813152063	0.18172099055942864	3.517052063722303e-06	2.221490693595719e-08	1.7451802367808354e-08	1.2729290916641867
Early_InN_4.35UP_10DOWN	0.03471405476686665	0.07749837561900888	0.012330449063378407	2.232478347443825	0.35520048424730233	0.0006521809850883645	3.9348589467050336e-08	3.124272465487169e-08	1.2594480763672669
Early_InN_5.100UP_100DOWN	0.08134559068127524	0.1398033493843302	0.009972990134985819	1.7186346329710926	0.12260025468450472	2.9646534069385066e-08	1.1875693946769334e-08	1.216630464418889e-08	0.9761134785032394
Early_InN_5.35UP_10DOWN	0.03974277485301097	0.07366645987700504	0.006734525503356657	1.8535811892717895	0.169452825784419	1.3137514601721583e-06	1.9444603694708933e-08	1.5550422623070434e-08	1.2504228448338848
LGE_0.100UP_100DOWN	0.09111701264804378	0.15112827300226356	0.01038961513458886	1.6586175140094233	0.11402497549739322	8.51251787731678e-08	1.0172293027825212e-08	1.1248876638662188e-08	0.9042941223893614
LGE_0.35UP_10DOWN	0.04657248699455928	0.07559655297725523	0.006842094940130343	1.6232019772980262	0.1469128101518318	4.782956581136912e-05	3.9238260635307864e-09	1.383281532932031e-08	0.2836606988610458
LGE.100UP_100DOWN	0.09153974923332862	0.10258223155563817	0.0062491386947813605	1.1206304628840855	0.06826694137923328	0.07848842992211448	-1.4291383323202972e-08	6.630683445363912e-09	-2.155340914848728
LGE_1.100UP_100DOWN	0.10930810602434862	0.127354306705304	0.008026388723595498	1.165094807121949	0.07342903482206162	0.02639593103601809	-1.544050162432083e-08	7.79311166443944e-09	-1.9813012169166024
LGE_1.35UP_10DOWN	0.06228587427377797	0.06499388266632924	0.005571138536708459	1.04347708728705	0.08944465501472264	0.6270442065974069	-1.9153047353617807e-08	8.95009108297686e-09	-2.139983512575313
LGE_2.100UP_100DOWN	0.10515220278472694	0.12259731935399189	0.008051189470142318	1.165903481879305	0.07656700722309291	0.03219256837205541	-2.1224252767685557e-08	7.90498410250267e-09	-2.6849203606830896
LGE_2.35UP_10DOWN	0.05869445857760211	0.06320041917561994	0.0052130114532499125	1.0767697787357615	0.0888160753090106	0.38846099969524195	-2.2155063908785503e-08	8.761802152392954e-09	-2.5285966886087112
LGE_3.100UP_100DOWN	0.12120361157956028	0.13311539434478215	0.007751058276372117	1.0982791074455958	0.06395072040641446	0.12535484799775254	-1.4469112155574778e-08	6.7977071315502625e-09	-2.1285283222072264
LGE_3.35UP_10DOWN	0.07119588657172204	0.0686902064260175	0.005432652803482572	0.9648058298539433	0.07630571181959747	0.6451477608852176	-1.708259206283497e-08	8.103142161317225e-09	-2.1081441893471693
LGE.35UP_10DOWN	0.052664926401057244	0.04995712274322103	0.0035568761793174863	0.9485843075671354	0.067537855312489	0.4474394833278945	-2.3935911929065506e-08	6.570995718723876e-09	-3.6426613185671033
LGE_4.100UP_100DOWN	0.10611560604238203	0.12833324571735877	0.00831233089265238	1.2093720283339204	0.0783327844288283	0.008930852858576262	-1.3641644158763193e-08	8.298471312227949e-09	-1.6438743529379902
LGE_4.35UP_10DOWN	0.0602824048142316	0.06278124441818705	0.005154623993924584	1.0414522216168378	0.08550793568719192	0.6281121063633659	-2.0343323109284958e-08	8.77001553646718e-09	-2.319645047912862
LGE_5.100UP_100DOWN	0.11093564187769527	0.13209829272996623	0.008587232959340486	1.1907651183521564	0.0774073400937074	0.015241284122952468	-1.3838057539263865e-08	7.991013147959402e-09	-1.7317025116893436
LGE_5.35UP_10DOWN	0.062302817287712	0.06691036990279858	0.006134095556508555	1.0739541615559547	0.09845615051694274	0.4534457528575262	-1.7350885732507618e-08	9.74277932358757e-09	-1.7808969244023198
LGE_6.100UP_100DOWN	0.0926955647383336	0.14073594155249464	0.00814865049882551	1.518259713393755	0.08790766334751822	1.648298892231088e-08	4.098425279736063e-09	8.415563834212383e-09	0.48700542952029513
LGE_6.35UP_10DOWN	0.04650505044404955	0.0729207342289321	0.006062651555689911	1.5680175278309476	0.13036544413566256	1.6413235988681945e-05	6.632859862000115e-09	1.1780985750880899e-08	0.5630139957943805
LGE_7.100UP_100DOWN	0.0699313673733581	0.08945042652234511	0.0055180990733973735	1.2791173672434615	0.07890735274682495	0.0005578623177265092	-2.123599659161666e-08	7.430114393104011e-09	-2.858098202542625
LGE_7.35UP_10DOWN	0.034635546543885176	0.039876866194527634	0.0032052489170013225	1.151327759300735	0.09254217810422286	0.10442621586950009	-2.7086333240695746e-08	7.948523469613536e-09	-3.407718847940032
MGE_0.100UP_100DOWN	0.08774065580200092	0.11611851408707717	0.007463541359652145	1.3234288372441032	0.08506366052807572	0.00022611908065251122	-2.0016294736995426e-08	7.95101896852527e-09	-2.5174502559019785
MGE_0.35UP_10DOWN	0.04552856248256421	0.05935272649623584	0.005271606416862923	1.30363717323528	0.1157867968900129	0.009800587662827431	-2.21178800194851e-08	1.052003973348424e-08	-2.102452137047172
MGE.100UP_100DOWN	0.08435473705700519	0.09110187361960946	0.006991595415739715	1.0799852716990237	0.08288325777146266	0.3350868351761609	-1.9834648945211092e-08	8.33041436370466e-09	-2.380991878582895
MGE_1.100UP_100DOWN	0.08246617813750648	0.12120107944267917	0.008646992279418968	1.4697065170230759	0.10485501419746558	1.759704532930085e-05	-1.3391694822562592e-08	1.038350058246033e-08	-1.2897090645117952
MGE_1.35UP_10DOWN	0.0402668340166736	0.05997047960015858	0.005844104803524355	1.4893269129459281	0.1451344498826116	0.0010151333774585326	-1.2914831538998576e-08	1.3560729170338704e-08	-0.9523699925552015
MGE_2.100UP_100DOWN	0.13232292579345728	0.1264574156201933	0.008625034471040268	0.9556727593643187	0.06518170921116931	0.49670340630257304	-1.5640673916753254e-08	7.124083238055166e-09	-2.1954647909227782
MGE_2.35UP_10DOWN	0.08013609434004361	0.06476226227439844	0.006490113326059816	0.8081534645248746	0.08098864038120134	0.018874563112794323	-1.8776083881290985e-08	8.762330553868909e-09	-2.1428184848608134
MGE_3.100UP_100DOWN	0.10496935243632992	0.12013811564437055	0.00792997801519083	1.144506590313981	0.0755456505269081	0.05777416620593444	-1.7271316510386596e-08	7.673187243228987e-09	-2.2508660303614043
MGE_3.35UP_10DOWN	0.05933695108618978	0.06175355904997372	0.005633122212339087	1.0407268644503438	0.0949344735316229	0.6682030435918267	-1.8315172266303424e-08	9.311565419526692e-09	-1.966927303962859
MGE.35UP_10DOWN	0.046984319659985584	0.04784575779791492	0.0052320226901198825	1.0183345878830077	0.11135678302852514	0.8690626267493049	-1.972837287322155e-08	1.0760270981866987e-08	-1.8334457288731338
MGE_4.100UP_100DOWN	0.0827585709423285	0.11990496665315442	0.00777706310645842	1.448852551317155	0.09397290235808903	4.19270555730015e-06	-1.4424849470194952e-08	8.570271725177067e-09	-1.6831262686594601
MGE_4.35UP_10DOWN	0.04049514532325006	0.0613160027725743	0.006163207126314983	1.5141568769076637	0.15219619727544012	0.0008917959888739298	-1.2752363217257081e-08	1.3096408833915972e-08	-0.9737297742440729
MGE_5.100UP_100DOWN	0.10483598910882934	0.1286243166339533	0.008130758863984868	1.226909935484364	0.0775569433083175	0.0033743049946492426	-1.0031351776918103e-08	7.925463798550302e-09	-1.2657116393305592
MGE_5.35UP_10DOWN	0.05889240666118787	0.06911246986919255	0.006187269248579653	1.1735378767385312	0.10506056042463072	0.09708708078054504	-1.0782425778781046e-08	1.0196810836246324e-08	-1.0574311862737564
Microglia.100UP_100DOWN	0.09294719365814601	0.17135667044762404	0.014623711381678346	1.843591653534621	0.15733354398480762	2.0388133841236114e-07	1.0501143561613344e-08	1.4997476098576197e-08	0.7001940521585683
Microglia.35UP_10DOWN	0.04206145147277568	0.09202676655670529	0.0120224258651542	2.1879122886729125	0.2858300283083604	4.31320697813769e-05	2.512733072167459e-08	2.5805953376955725e-08	0.9737028643984479
Progenitor_0.100UP_100DOWN	0.08985551299671758	0.15118878236464403	0.01393440829134595	1.6825765868162919	0.15507571908086457	1.7936428166236975e-05	1.793261745630822e-08	1.4707607822017266e-08	1.219274927188575
Progenitor_0.35UP_10DOWN	0.04027203434768306	0.07832323266054972	0.011130334496049112	1.9448541383421776	0.2763787495798425	0.0007294127113077076	3.309727591727284e-08	2.4641545635009236e-08	1.3431493465349107
Progenitor.100UP_100DOWN	0.06516132181678093	0.09940201464008887	0.007467220866860811	1.525475724995038	0.11459590841108114	7.180069445398041e-06	1.0601583650633629e-08	1.133093444378903e-08	0.9356318936647638
Progenitor_10.100UP_100DOWN	0.1280254393482878	0.1633634577135086	0.012142506843866524	1.2760234102308776	0.09484448485924228	0.004155441131898322	-3.1355658273543174e-09	9.176447830178662e-09	-0.3416971234819595
Progenitor_10.35UP_10DOWN	0.07411830484642332	0.08886694675873003	0.010073044871269435	1.1989878471029067	0.13590495481704915	0.1445456924492212	-7.134239042748218e-09	1.2878870246908558e-08	-0.55394913575286
Progenitor_1.100UP_100DOWN	0.09408791142796225	0.1529897113765202	0.009529090302104122	1.6260294128609254	0.10127858252438734	4.32087791041824e-09	3.946705029217358e-09	1.051642594553829e-08	0.3752895755322455
Progenitor_1.35UP_10DOWN	0.04297989703009096	0.07518615869715796	0.00622259833581471	1.7493331509035224	0.1447792750982666	4.806757475111359e-07	3.3310029915108463e-09	1.3960173834087957e-08	0.2386075582652991
Progenitor_2.100UP_100DOWN	0.08543355411254758	0.16225457518375275	0.015416583012694579	1.8991902756381116	0.18045114911625051	1.5084803724463192e-06	2.2308342248054575e-08	1.731148276025781e-08	1.2886442228546775
Progenitor_2.35UP_10DOWN	0.035450320986237745	0.07633855683354006	0.009026268140410142	2.15339536313862	0.2546173882012028	8.495553319135614e-06	2.496104528776611e-08	2.229497496893083e-08	1.1195816690779237
Progenitor_3.100UP_100DOWN	0.0972146523855512	0.1670499065963953	0.013820185276355857	1.7183614043475566	0.14216154599355355	8.8398303161123e-07	1.4367764729247147e-08	1.3307353832937316e-08	1.0796860825692622
Progenitor_3.35UP_10DOWN	0.043913440322594983	0.0828591635734625	0.007721891490035865	1.8868747919718007	0.17584346462744993	8.233968101506504e-07	1.8177650354021235e-08	1.521557609090874e-08	1.1946738161877635
Progenitor_4.100UP_100DOWN	0.07884876078628333	0.12441063889581175	0.009496446399258576	1.5778388608163698	0.12043875267739901	3.0669788552858593e-06	-7.0915965091743374e-09	1.270850824238172e-08	-0.5580195860852107
Progenitor_4.35UP_10DOWN	0.03276695018535825	0.0573019692038164	0.0076406002036806565	1.748773348745209	0.23318008421469816	0.001571722264692348	-5.1433159862526205e-09	2.197581721786803e-08	-0.23404435590548636
Progenitor_5.100UP_100DOWN	0.08020554392191183	0.17473266110210844	0.01644930387405266	2.178560889409693	0.20508936252670654	3.596583627943695e-08	6.148039848095847e-08	1.969094859543039e-08	3.122266973731576
Progenitor_5.35UP_10DOWN	0.03399087325132579	0.08930640172274457	0.010143415923560458	2.627364147499836	0.298415867358301	1.3658575238480233e-07	8.357224089541102e-08	2.647501248486286e-08	3.156645948446431
Progenitor_6.100UP_100DOWN	0.0978333240230633	0.14916821263578361	0.010243522227726558	1.5247178211037642	0.10470381467680422	1.6330678834542692e-06	6.4035587264185645e-09	1.097028747890389e-08	0.5837184065351753
Progenitor_6.35UP_10DOWN	0.049095318544598456	0.07562248201638305	0.007412560758657756	1.540319612096766	0.15098304641661803	0.0004326942313607364	3.942817878908605e-09	1.453948163091281e-08	0.27118008598915017
Progenitor_7.100UP_100DOWN	0.10861042290601543	0.15821797421904887	0.013603015276764701	1.456747612114177	0.12524594705368092	0.00034691725518796063	2.981751491131231e-09	1.1832828149402579e-08	0.2519897570963857
Progenitor_7.35UP_10DOWN	0.055313069153163	0.07740271270084846	0.007801896250568559	1.3993566780125468	0.1410497802782368	0.005100464168378442	-6.616555352991105e-09	1.2608350239229578e-08	-0.524775662751212
Progenitor_8.100UP_100DOWN	0.10621676086814662	0.16837723240840685	0.013480517984426	1.5852228125975696	0.1269151673826713	7.923171729715252e-06	1.2245700375233708e-08	1.1746320772418047e-08	1.0425137038644705
Progenitor_8.35UP_10DOWN	0.052540789467283126	0.08627999066521279	0.009671156539956698	1.6421525359632994	0.18406949415898816	0.000621487765814417	1.417294539045935e-08	1.6015239400136348e-08	0.8849661897866283
Progenitor_9.100UP_100DOWN	0.0775599174590042	0.14347465775363555	0.009354872831378305	1.8498557303064673	0.12061478580509068	1.907872455142119e-11	1.763786589818831e-08	1.1730270758247198e-08	1.5036196744041617
Progenitor_9.35UP_10DOWN	0.03176446056882563	0.06574091110997861	0.006649687006893605	2.069637259147988	0.20934361509100397	4.848096155835679e-07	2.161316370754118e-08	1.8621544163499593e-08	1.1606536771480807
