Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0.100UP_100DOWN	0.09458814972054931	0.13953425898766317	0.009519751929875314	1.475176958212021	0.10064423458964378	3.3527416124380014e-06	1.2787595862824765e-08	5.643245509859522e-09	2.266000272446606
CGE.100UP_100DOWN	0.10860102875967576	0.16723762964989863	0.009856084575896052	1.5399267535483514	0.09075498352512548	5.015610018907517e-09	1.742634578717338e-08	5.053479252312039e-09	3.4483857392311603
CGE_1.100UP_100DOWN	0.10145929675756006	0.15879781054726386	0.009961393321149146	1.5651380959865693	0.09818117845772364	2.662865777233515e-08	1.836736152162969e-08	5.3404721940465885e-09	3.4392766883245116
CGE_2.100UP_100DOWN	0.11318335914207288	0.17208519107550224	0.010024560581639693	1.5204107068380355	0.08856920891574185	2.1697532552397073e-08	1.7648596756670855e-08	4.974493908025108e-09	3.5478175434488395
CGE_3.100UP_100DOWN	0.09075902857145733	0.12786705170882046	0.008057749701011932	1.4088631590866671	0.08878179755601749	4.523778703655754e-06	8.18008637182407e-09	5.054463665449658e-09	1.6183885993166691
Early_InN_0.100UP_100DOWN	0.08070662097756494	0.11147124552318849	0.009465887889880925	1.3811908387810659	0.11728762492128471	0.0012639757218989522	8.020899305713603e-09	6.348907602278948e-09	1.2633510846550189
Early_InN.100UP_100DOWN	0.08998921182944458	0.10734797573546928	0.008074705542102502	1.192898276950403	0.08972970623863658	0.033628627562662786	5.40629206279334e-10	4.925490103337367e-09	0.10976150493389877
Early_InN_1.100UP_100DOWN	0.08256498442668615	0.10612604008188178	0.009701318505798107	1.2853637751983924	0.1174991865275821	0.018790678549402588	3.893830945497467e-09	6.508266474545609e-09	0.5982900301833946
Early_InN_2.100UP_100DOWN	0.08132579587291666	0.09054329529162308	0.007857417889331104	1.1133404145605916	0.09661655081260388	0.24547224424581127	-4.106108988762509e-09	5.16151700424214e-09	-0.7955236775133716
Early_InN_3.100UP_100DOWN	0.08173712528050334	0.10018194207161303	0.007982145820549794	1.2256602092110684	0.09765630725520226	0.022062050135474756	7.87200069639776e-10	5.267790433882218e-09	0.14943648186468023
Early_InN_4.100UP_100DOWN	0.07387338603113924	0.07739539535932848	0.007094910211900583	1.0476762947714977	0.09604149197804368	0.6204280885725858	-9.858000535087307e-09	4.899660158065467e-09	-2.0119763855172237
Early_InN_5.100UP_100DOWN	0.07249378854011443	0.09627594627397576	0.007971734324187003	1.3280578683055235	0.10996437742767223	0.0033266391581252535	5.164015279882021e-09	5.759965385670986e-09	0.8965358182062162
LGE_0.100UP_100DOWN	0.10156162585161711	0.15374889993238489	0.009500790226875565	1.5138483521031267	0.09354704739323834	2.0998488491215952e-07	1.5557685026304054e-08	5.271871546678991e-09	2.951074374356598
LGE.100UP_100DOWN	0.1413659659136755	0.2067666055857798	0.010647101678511763	1.4626335571607165	0.07531587684275697	4.063959357703033e-09	1.518164074326541e-08	4.372057067369059e-09	3.4724251100411996
LGE_1.100UP_100DOWN	0.12497905189242561	0.18635919445761365	0.009237253178550961	1.4911234453756326	0.07391041169444804	4.729641644208399e-10	1.5375920391494323e-08	4.1689784493219374e-09	3.688174592026288
LGE_2.100UP_100DOWN	0.1132729390375261	0.1747478471982175	0.010832090027591066	1.5427148680262057	0.09562822435464936	8.723153728852904e-08	1.8813318336100566e-08	5.319836197645491e-09	3.5364469200061386
LGE_3.100UP_100DOWN	0.12453534623048974	0.1683881975576095	0.009358734025956557	1.352131765434345	0.07514921915128764	5.853235082555716e-06	6.6660522511120385e-09	4.236547458664307e-09	1.5734633722747677
LGE_4.100UP_100DOWN	0.11310904473442161	0.17681799829461792	0.010518866405447544	1.5632525118551217	0.09299757088520806	1.151285584514501e-08	1.939041575563521e-08	5.104709654343743e-09	3.7985345041388108
LGE_5.100UP_100DOWN	0.1211573118583148	0.17066798513865922	0.010972123263150587	1.4086478357843046	0.09056096652244758	1.4526461089521408e-05	1.1519743131871458e-08	5.156351356292223e-09	2.234088085912547
LGE_6.100UP_100DOWN	0.09315721992988277	0.13006259503195935	0.009390815621992354	1.3961622634279383	0.10080609564197598	9.108647347812844e-05	8.98761406976684e-09	5.389338645354263e-09	1.6676654894407823
LGE_7.100UP_100DOWN	0.06663502852381559	0.0864072459570165	0.00800876027758893	1.2967240784797482	0.12018844225040845	0.013795620007045428	1.90878691465676e-09	6.215201371100493e-09	0.30711586008013464
MGE_0.100UP_100DOWN	0.10365735924842803	0.15986615489113515	0.009931131135405172	1.5422557168179019	0.0958072944112338	5.424898389970601e-08	1.606491381602813e-08	5.39688018944853e-09	2.9767038088851283
MGE.100UP_100DOWN	0.1368873066462411	0.20271644858790294	0.00982880734857291	1.480900264272016	0.07180218231609722	6.430040832538501e-10	1.831989294324592e-08	4.317010796492426e-09	4.243652334187083
MGE_1.100UP_100DOWN	0.09022574301406824	0.140677629140658	0.009379613034825904	1.5591739612354667	0.10395717144012225	2.6813666374450653e-07	1.6710309378273567e-08	5.856338510271053e-09	2.853371496365252
MGE_2.100UP_100DOWN	0.1456617748327129	0.20848059124771046	0.009976328069478678	1.431264938843033	0.06848967809801931	3.6881605563993132e-09	1.6440538665196854e-08	4.023488325445123e-09	4.086140516731342
