# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1                  SET      1    1010      0.14008     0.032005     0.038601   0.00014277
fetal_FC_ExN_2         SET      1    1181      0.23644     0.058125     0.036934   7.9234e-11
CGE_1                  SET      2    1010      0.14984     0.034235     0.038578   5.1601e-05
fetal_FC_ExN_3         SET      2    1069       0.1746     0.040971     0.038828   3.4767e-06
CGE_1                  SET      3    1010      0.15474     0.035354     0.038512   2.9496e-05
fetal_FC_ExN_4         SET      3    1157      0.15509     0.037763     0.036672   1.1806e-05
CGE_1                  SET      4    1010      0.15827      0.03616     0.038476   1.9608e-05
fetal_GE_InN_2         SET      4    1022       0.1544     0.035473     0.038924   3.6637e-05
CGE_1                  SET      5    1010      0.15601     0.035645     0.038532   2.5866e-05
fetal_Hipp_ExN_3       SET      5    1105      0.12772     0.030439      0.03747   0.00032729
CGE_1                  SET      6    1010      0.15604     0.035653     0.038628     2.69e-05
fetal_Hipp_ExN_5       SET      6    1005      0.09408     0.021445     0.039452    0.0085533
CGE_1                  SET      7    1010      0.15442     0.035282      0.03853   3.0787e-05
mouse_InN              SET      7    1205      0.14251     0.035364     0.036001   3.7885e-05
CGE_1                  SET      8    1010      0.15462     0.035328     0.038482   2.9486e-05
mouse_MSN              SET      8     973      0.20064     0.045042     0.039918   2.5303e-07
CGE_1                  SET      9    1010      0.14866     0.033965      0.03851   5.6873e-05
mouse_CA1              SET      9    1287      0.20829     0.053287     0.034933   1.2718e-09
CGE_1                  SET     10    1010      0.15133     0.034576     0.038524   4.2982e-05
mouse_SS               SET     10    1249      0.17488     0.044123     0.035158    3.317e-07
CGE_1                  SET     11    1010      0.15754     0.035995     0.038513   2.1633e-05
adult_exCA1            SET     11    1334      0.10952     0.028486     0.033877   0.00061431
CGE_1                  SET     12    1010       0.1589     0.036305     0.038528   1.8702e-05
adult_exCA3            SET     12    1339     0.082957     0.021615     0.033739     0.006977
CGE_1                  SET     13    1010      0.15645     0.035745     0.038588   2.5274e-05
adult_exPFC1           SET     13    1348     0.086909     0.022714     0.033692     0.004952
CGE_1                  SET     14    1010      0.15581     0.035598     0.038527   2.6397e-05
adult_exDG             SET     14    1321      0.12411     0.032135     0.034741   0.00017749
CGE_1                  SET     15    1010      0.16036     0.036638     0.038525   1.5835e-05
adult_exPFC2           SET     15    1352     0.064822     0.016965     0.033669     0.027107
CGE_1                  SET     16    1010      0.16117     0.036824     0.038525   1.4438e-05
adult_GABA1            SET     16    1314     0.054506     0.014079     0.034286     0.055956
CGE_1                  SET     17    1010      0.14778     0.033764     0.038666   6.6499e-05
adult_GABA2            SET     17    1304      0.14332     0.036889     0.035213   2.3627e-05
CGE_1                  SET     18    1010      0.12098     0.027642     0.041206    0.0016649
CGE_2                  SET     18     985      0.12451     0.028114     0.042147    0.0015701
CGE_1                  SET     19    1010       0.1593     0.036396     0.038442   1.7175e-05
LGE_1                  SET     19    1043      0.19895     0.046149     0.038865   1.5554e-07
CGE_1                  SET     20    1010       0.1536     0.035094     0.038599   3.4715e-05
LGE_2                  SET     20    1027       0.1266     0.029153     0.038704   0.00053716
CGE_1                  SET     21    1010      0.15574     0.035582     0.038539   2.6742e-05
LGE_4                  SET     21     992      0.13252     0.030022     0.039015   0.00034215
CGE_1                  SET     22    1010      0.16059     0.036691     0.038449   1.4881e-05
MGE_2                  SET     22    1131      0.16048     0.038663     0.036968   7.1437e-06
CGE_1                  SET     23    1010      0.14012     0.032013     0.039234   0.00017818
MGE_3                  SET     23    1015      0.12645     0.028959      0.04007   0.00080194
