# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_2 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_2                  SET      1    1131       0.1291     0.031105     0.037365   0.00027576
fetal_FC_ExN_2         SET      1    1181      0.23026     0.056607     0.037184   3.0424e-10
MGE_2                  SET      2    1131      0.15046      0.03625     0.037082   2.4925e-05
fetal_FC_ExN_3         SET      2    1069      0.17446     0.040938     0.038817   3.5149e-06
MGE_2                  SET      3    1131      0.13699     0.033004     0.037701   0.00014028
fetal_FC_ExN_4         SET      3    1157      0.13741     0.033459     0.037338   0.00011696
MGE_2                  SET      4    1131      0.16106     0.038804     0.036967   6.6406e-06
fetal_GE_InN_2         SET      4    1022       0.1575     0.036187     0.038896    2.581e-05
MGE_2                  SET      5    1131      0.15473     0.037278     0.037075     1.51e-05
fetal_Hipp_ExN_3       SET      5    1105      0.12573     0.029965     0.037498   0.00040067
MGE_2                  SET      6    1131      0.15315     0.036899     0.037322   2.0457e-05
fetal_Hipp_ExN_5       SET      6    1005     0.086933     0.019816     0.039645     0.014171
MGE_2                  SET      7    1131      0.14873     0.035834     0.037192   3.1946e-05
mouse_InN              SET      7    1205       0.1362     0.033798     0.036143   8.2466e-05
MGE_2                  SET      8    1131      0.15023     0.036194     0.037059   2.5344e-05
mouse_MSN              SET      8     973      0.19649     0.044111     0.039983   4.5025e-07
MGE_2                  SET      9    1131      0.14076     0.033913     0.037159   7.6212e-05
mouse_CA1              SET      9    1287      0.20321     0.051988     0.035058   3.4616e-09
MGE_2                  SET     10    1131       0.1465     0.035295     0.037132   4.0043e-05
mouse_SS               SET     10    1249      0.17077     0.043086     0.035245   6.3933e-07
MGE_2                  SET     11    1131       0.1488     0.035851     0.037365   3.4271e-05
adult_exCA1            SET     11    1334     0.097768      0.02543     0.034183    0.0021206
MGE_2                  SET     12    1131      0.15356     0.036997     0.037314   1.9433e-05
adult_exCA3            SET     12    1339     0.072689     0.018939     0.033985     0.016233
MGE_2                  SET     13    1131      0.15035     0.036223     0.037509   3.0734e-05
adult_exPFC1           SET     13    1348     0.075286     0.019677     0.034063     0.013553
MGE_2                  SET     14    1131       0.1465     0.035296     0.037378   4.4578e-05
adult_exDG             SET     14    1321      0.11289      0.02923     0.035055   0.00064163
MGE_2                  SET     15    1131      0.15678     0.037773     0.037261   1.2975e-05
adult_exPFC2           SET     15    1352     0.055524     0.014531     0.033868     0.050575
MGE_2                  SET     16    1131      0.15709     0.037848     0.037657   1.5203e-05
adult_GABA1            SET     16    1314       0.0354    0.0091437     0.034856      0.15492
MGE_2                  SET     17    1131      0.13707     0.033025     0.037683   0.00013809
adult_GABA2            SET     17    1304      0.13255     0.034117     0.035693   0.00010252
MGE_2                  SET     18    1131      0.16048     0.038663     0.036968   7.1437e-06
CGE_1                  SET     18    1010      0.16059     0.036691     0.038449   1.4881e-05
MGE_2                  SET     19    1131      0.13638     0.032857     0.037857   0.00015815
CGE_2                  SET     19     985      0.13767     0.031086     0.040273   0.00031577
MGE_2                  SET     20    1131      0.11392     0.027445     0.039029      0.00176
LGE_1                  SET     20    1043      0.16491     0.038253     0.041039   2.9447e-05
MGE_2                  SET     21    1131      0.14208     0.034231     0.037844   8.7231e-05
LGE_2                  SET     21    1027      0.10853     0.024991     0.039467    0.0029855
MGE_2                  SET     22    1131      0.13528     0.032592     0.038846   0.00024921
LGE_4                  SET     22     992     0.099657     0.022577     0.040902    0.0074211
MGE_2                  SET     23    1131      0.13834     0.033329     0.037959   0.00013451
MGE_3                  SET     23    1015      0.12155     0.027837     0.040322    0.0012891
