# TOTAL_GENES = 18276
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1040     0.087383     0.020244     0.034241    0.0053604
CGE_1               SET    1010      0.10955     0.025032     0.034701   0.00079881
CGE_2               SET     985      0.14973     0.033813     0.035966   1.5781e-05
CGE_3               SET    1007     0.036812    0.0083999     0.034411      0.14237
Early_InN_0         SET     932     0.011849    0.0026068     0.035674      0.36989
Early_InN_1         SET     951     0.014801    0.0032873     0.035175      0.33696
Early_InN_2         SET    1056   -0.0091525   -0.0021356     0.032971      0.60933
Early_InN_3         SET     963     0.031167    0.0069634     0.035412      0.18941
Early_InN_4         SET     912    -0.039031   -0.0084989     0.036051      0.86051
Early_InN_5         SET     800      0.11494     0.023515     0.038403    0.0013842
LGE_0               SET    1027      0.11844     0.027277     0.035142   0.00037648
LGE_1               SET    1043      0.10008     0.023217     0.035372    0.0023351
LGE_2               SET    1027      0.08898     0.020492     0.034981    0.0054901
LGE_3               SET    1086      0.09747     0.023044     0.034615    0.0024358
LGE_4               SET     992      0.11856     0.026863     0.035628   0.00043887
LGE_5               SET    1005     0.083943     0.019136       0.0356    0.0091953
LGE_6               SET     963     0.082431     0.018417     0.035531     0.010179
LGE_7               SET     664      0.04344    0.0081284     0.041628      0.14836
MGE_0               SET    1052     0.074347     0.017317     0.034869     0.016505
MGE_1               SET    1028     0.038779    0.0089349     0.034409      0.12989
MGE_2               SET    1131      0.13555     0.032662     0.033672   2.8542e-05
MGE_3               SET    1015      0.12175     0.027885     0.034832   0.00023749
MGE_4               SET     969     0.051966     0.011644      0.03637     0.076544
MGE_5               SET    1001     0.074186      0.01688     0.034792       0.0165
Microglia           SET    1220     -0.11543    -0.028813     0.032201      0.99983
Progenitor_0        SET    1181    0.0076172    0.0018728      0.03222      0.40656
Progenitor_1        SET    1141    -0.018784   -0.0045446     0.032074      0.72094
Progenitor_10       SET    1074    0.0059068    0.0013892     0.034328      0.43169
Progenitor_2        SET    1250     0.011488    0.0028999     0.030851      0.35482
Progenitor_3        SET    1251    -0.057642    -0.014556     0.031847      0.96484
Progenitor_4        SET    1037    -0.029385   -0.0067982     0.034086      0.80567
Progenitor_5        SET    1110   -0.0048037   -0.0011474     0.033685       0.5567
Progenitor_6        SET    1061    -0.035092   -0.0082064      0.03379      0.85048
Progenitor_7        SET    1156    -0.054102     -0.01317     0.032648      0.95124
Progenitor_8        SET    1180    -0.095241    -0.023407     0.032636      0.99824
Progenitor_9        SET    1062   -0.0091551   -0.0021419     0.033685       0.6071
