# TOTAL_GENES = 16830
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     987    -0.042574    -0.010003      0.05752      0.77039
CGE_1               SET     952     0.024843    0.0057393     0.059211       0.3374
CGE_2               SET     931     -0.15613    -0.035692     0.060618      0.99499
CGE_3               SET     956      0.10522     0.024354     0.058736     0.036631
Early_InN_0         SET     880      0.17745     0.039503     0.060219    0.0016082
Early_InN_1         SET     907      0.08475     0.019138     0.059436     0.076959
Early_InN_2         SET    1003     0.082144     0.019447     0.055421     0.069157
Early_InN_3         SET     914       0.1421     0.032204     0.057737    0.0069306
Early_InN_4         SET     879      0.23285     0.051807     0.058157   3.1323e-05
Early_InN_5         SET     758    0.0067522    0.0014004     0.065121      0.45871
LGE_0               SET     967     -0.04041   -0.0094042     0.059434      0.75172
LGE_1               SET     996    -0.016049    -0.003787     0.060361      0.60483
LGE_2               SET     980    -0.076299    -0.017868     0.060134      0.89774
LGE_3               SET    1035     -0.11572    -0.027801      0.05867      0.97571
LGE_4               SET     937     0.023631    0.0054185      0.06202       0.3516
LGE_5               SET     964     -0.18769    -0.043616     0.061304       0.9989
LGE_6               SET     918     0.072039      0.01636     0.059952      0.11477
LGE_7               SET     619     -0.11905    -0.022409     0.071254      0.95261
MGE_0               SET     998     0.013207    0.0031194     0.057038      0.40844
MGE_1               SET     963      0.11918     0.027682     0.057977     0.019917
MGE_2               SET    1076     -0.29625    -0.072474     0.059014            1
MGE_3               SET     967    -0.026475   -0.0061612     0.060571      0.66897
MGE_4               SET     910     0.024784    0.0056052     0.059885      0.33949
MGE_5               SET     954   -0.0077826   -0.0017997     0.060897      0.55085
Microglia           SET    1149      -0.1297    -0.032713     0.055371      0.99041
Progenitor_0        SET    1113      0.17461     0.043394     0.053437   0.00054353
Progenitor_1        SET    1092     0.053096     0.013079     0.054894      0.16672
Progenitor_10       SET    1035    -0.084164     -0.02022     0.058226      0.92583
Progenitor_2        SET    1185     0.088826     0.022726     0.051369       0.0419
Progenitor_3        SET    1187      0.11091     0.028398     0.052884     0.017995
Progenitor_4        SET     980      0.12456      0.02917     0.056375     0.013576
Progenitor_5        SET    1036      0.16353     0.039306      0.05492    0.0014544
Progenitor_6        SET    1018   -0.0034923  -0.00083255     0.058241      0.52391
Progenitor_7        SET    1112    -0.025136   -0.0062441     0.056715      0.67119
Progenitor_8        SET    1125    -0.023671   -0.0059122     0.055791      0.66432
Progenitor_9        SET    1002      0.20841     0.049316     0.055352   8.3542e-05
