# TOTAL_GENES = 17968
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     924     0.078873     0.017421     0.061825      0.10103
CGE_1               SET     926    -0.040559   -0.0089675     0.060887      0.74733
CGE_2               SET     939    -0.044313   -0.0098622     0.060739      0.76717
CGE_3               SET     902       0.1174     0.025636      0.06259     0.030359
Early_InN_0         SET     919     0.093594     0.020619     0.062206     0.066227
Early_InN_1         SET     964       0.1283      0.02891     0.060117     0.016423
Early_InN_2         SET    1052     0.052303      0.01228     0.056615      0.17779
Early_InN_3         SET    1014      0.10859     0.025058     0.057021     0.028445
Early_InN_4         SET     993      0.11411     0.026075     0.059086     0.026733
Early_InN_5         SET     906     0.089694     0.019627      0.06182     0.073417
LGE_0               SET     929      0.13231     0.029297     0.059958     0.013677
LGE_1               SET     950    -0.013007   -0.0029108      0.06125      0.58409
LGE_2               SET     953     0.021122    0.0047339     0.060496      0.36349
LGE_3               SET    1012    -0.055122    -0.012708     0.059617      0.82241
LGE_4               SET     965     0.031753    0.0071585     0.061541      0.30294
LGE_5               SET     964     0.026167    0.0058963      0.05935      0.32965
LGE_6               SET     945     0.048892     0.010914     0.061101      0.21181
LGE_7               SET     711     0.037283    0.0072685     0.069638       0.2962
MGE_0               SET     893     0.031458    0.0068368      0.06244       0.3072
MGE_1               SET     886     0.059709     0.012928     0.061481      0.16574
MGE_2               SET    1015     -0.22563    -0.052091     0.059731      0.99992
MGE_3               SET     910     0.017731     0.003888     0.061044      0.38573
MGE_4               SET     891      0.13399      0.02909     0.061935     0.015262
MGE_5               SET     958     0.018391    0.0041319     0.060865      0.38127
Microglia           SET    1162     0.023641    0.0058145     0.055908       0.3362
Progenitor_0        SET    1066     0.052149      0.01232     0.058632       0.1869
Progenitor_1        SET    1068      0.20532     0.048547     0.056821   0.00015168
Progenitor_10       SET    1087      0.02971    0.0070832     0.056224      0.29861
Progenitor_2        SET    1106     0.099218     0.023847     0.055557      0.03707
Progenitor_3        SET    1137      0.11828     0.028798     0.055699     0.016864
Progenitor_4        SET    1010       0.1207     0.027802     0.058874     0.020184
Progenitor_5        SET    1050      0.12285     0.028817     0.058656     0.018122
Progenitor_6        SET    1023      0.10658     0.024698     0.058856     0.035086
Progenitor_7        SET    1104     0.041875     0.010056     0.055603       0.2257
Progenitor_8        SET    1103     0.054678     0.013125     0.056615      0.16708
Progenitor_9        SET    1063     0.066487     0.015686     0.058514      0.12793
