# TOTAL_GENES = 18155
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1035     0.033221    0.0077029     0.030401      0.13726
CGE_1               SET    1003     0.084089     0.019211      0.03071    0.0030927
CGE_2               SET     981     0.076422     0.017278     0.031379    0.0074425
CGE_3               SET    1006      0.01326    0.0030337     0.030895       0.3339
Early_InN_0         SET     929     0.046977     0.010351     0.032027     0.071225
Early_InN_1         SET     949    -0.024479   -0.0054486     0.031233       0.7834
Early_InN_2         SET    1056     0.044314     0.010372     0.029111     0.063988
Early_InN_3         SET     961     0.061221     0.013708     0.030815     0.023485
Early_InN_4         SET     910    0.0053265    0.0011623     0.031305      0.43245
Early_InN_5         SET     795   -0.0071255   -0.0014581     0.033344      0.58461
LGE_0               SET    1024     0.060197     0.013888     0.031051     0.026282
LGE_1               SET    1041     0.049761     0.011569     0.030863     0.053458
LGE_2               SET    1025     0.095505     0.022043     0.030591    0.0008999
LGE_3               SET    1086     0.072206     0.017124     0.030001    0.0080522
LGE_4               SET     992     0.049034     0.011145     0.031004     0.056888
LGE_5               SET    1003      0.10025     0.022903      0.03086    0.0005815
LGE_6               SET     962     0.065261     0.014619     0.031181     0.018184
LGE_7               SET     664     0.013152    0.0024688     0.037306      0.36222
MGE_0               SET    1050       0.1061     0.024768     0.030372   0.00023912
MGE_1               SET    1022     0.093616     0.021578     0.030497    0.0010732
MGE_2               SET    1127     0.094986      0.02292     0.030393   0.00089007
MGE_3               SET    1013     0.098869     0.022694     0.031526   0.00085777
MGE_4               SET     964     0.090515     0.020297     0.030864    0.0016827
MGE_5               SET     998      0.10282     0.023436     0.030588   0.00038858
Microglia           SET    1217    -0.023895   -0.0059759     0.028207      0.80153
Progenitor_0        SET    1179     0.040109    0.0098841     0.028218     0.077611
Progenitor_1        SET    1138   -0.0058067   -0.0014075     0.028417      0.58095
Progenitor_10       SET    1073    -0.021886   -0.0051611     0.030364      0.76447
Progenitor_2        SET    1248     0.046485     0.011762     0.026504     0.039735
Progenitor_3        SET    1245    -0.010341   -0.0026137     0.027686      0.64562
Progenitor_4        SET    1033    -0.013063   -0.0030261     0.030517      0.66569
Progenitor_5        SET    1104     0.007943    0.0018983     0.029274      0.39307
Progenitor_6        SET    1058    -0.019482   -0.0045642     0.030123       0.7411
Progenitor_7        SET    1152    -0.033579    -0.008186     0.028757      0.87852
Progenitor_8        SET    1177   -0.0016286  -0.00040102      0.02852      0.52277
Progenitor_9        SET    1053     0.019565    0.0045734     0.029436      0.25314
