# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     954      0.15837     0.035222      0.03927   2.7708e-05
CGE_1               SET     958      0.16123     0.035931     0.039223   1.9832e-05
CGE_2               SET     948      0.16365     0.036289     0.039877   2.0434e-05
CGE_3               SET     958      0.14033     0.031272     0.039621   0.00019942
Early_InN_0         SET     936       0.1164     0.025657     0.039116    0.0014638
Early_InN_1         SET     974     0.069119     0.015524     0.039031     0.038303
Early_InN_2         SET     965     0.032359    0.0072361     0.038409      0.19977
Early_InN_3         SET     963      0.02189    0.0048901     0.039179      0.28819
Early_InN_4         SET     962    -0.034772   -0.0077643     0.038914      0.81421
Early_InN_5         SET     957      0.10999     0.024499     0.040009    0.0029919
LGE_0               SET     965      0.16117      0.03604     0.040187   3.0459e-05
LGE_1               SET     964      0.21622     0.048329     0.040124   3.5995e-08
LGE_2               SET     968       0.1379     0.030883     0.039782   0.00026445
LGE_3               SET     960      0.11494     0.025641     0.040891    0.0024726
LGE_4               SET     966      0.15521     0.034725     0.039361   4.0389e-05
LGE_5               SET     963     0.084631     0.018907     0.040117     0.017454
LGE_6               SET     966      0.17567     0.039303     0.039059   3.4642e-06
LGE_7               SET     953     0.036268    0.0080625     0.038879      0.17546
MGE_0               SET     951      0.15999      0.03553     0.040228   3.5065e-05
MGE_1               SET     941     0.079695     0.017611     0.039765     0.022537
MGE_2               SET     946      0.19062     0.042228     0.040133   1.0287e-06
MGE_3               SET     932       0.1432     0.031501      0.04085   0.00022853
MGE_4               SET     955      0.16046     0.035707     0.040818    4.246e-05
MGE_5               SET     957      0.13141      0.02927     0.039523   0.00044342
Microglia           SET     970     -0.14153    -0.031726     0.039628      0.99982
Progenitor_0        SET     961     0.016212    0.0036183     0.040115      0.34305
Progenitor_1        SET     958    -0.024178   -0.0053882     0.038981      0.73245
Progenitor_10       SET     968     0.026211      0.00587      0.03945      0.25322
Progenitor_2        SET     958    0.0074727    0.0016653     0.039498      0.42497
Progenitor_3        SET     960    -0.050027     -0.01116     0.040406      0.89215
Progenitor_4        SET     964    -0.043516   -0.0097263     0.038768      0.86916
Progenitor_5        SET     956    -0.025091    -0.005586     0.040329      0.73307
Progenitor_6        SET     958    -0.020809   -0.0046374     0.039241      0.70204
Progenitor_7        SET     960    -0.026593   -0.0059321     0.038901      0.75288
Progenitor_8        SET     965     -0.11188     -0.02502     0.039318      0.99778
Progenitor_9        SET     962   -0.0019007  -0.00042442     0.039297      0.51929
