Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_CGE_2.100UP_100DOWN	0.10145929675756006	0.15778154248413198	0.009763492349041033	1.5551215859612704	0.09623063298350255	2.6676936749694317e-08	1.2484530429910935e-08	5.4902656149417184e-09	2.2739392418345616
CGE_1_vs_LGE_1.100UP_100DOWN	0.10145929675756006	0.15882907252451867	0.009908921536758212	1.565446219325227	0.09766400767034555	2.2762735068922394e-08	1.779741221691033e-08	5.378644783471725e-09	3.308902694522751
CGE_1_vs_LGE_2.100UP_100DOWN	0.10145929675756006	0.15849256477416174	0.00996446943755955	1.5621295419865202	0.09821149718167216	3.0664113961055337e-08	1.6705873304566922e-08	5.384850103589254e-09	3.1023840930004116
CGE_1_vs_LGE_4.100UP_100DOWN	0.10145929675756006	0.15906250276142903	0.009844342765054697	1.567746947246377	0.09702750836700594	1.5301743167766047e-08	1.7466857213367534e-08	5.291757240730802e-09	3.300766913290098
CGE_1_vs_MGE_2.100UP_100DOWN	0.10145929675756006	0.15882566961421626	0.010012440093075788	1.5654126796653718	0.09868430408108193	2.8972134864816198e-08	1.7854190965342304e-08	5.400755787712892e-09	3.305868968554711
CGE_1_vs_MGE_3.100UP_100DOWN	0.10145929675756006	0.15870228955764198	0.009822889387079686	1.5641966249467085	0.09681606024287519	1.9589316243420976e-08	1.461892368883019e-08	5.166452396125699e-09	2.829586448874059
CGE_2_vs_CGE_1.100UP_100DOWN	0.11318335914207288	0.17182607557157653	0.01001893667578846	1.5181213640769635	0.08851952046424279	2.6363673810680714e-08	1.2746231804281455e-08	5.208183216295485e-09	2.447347045011924
CGE_2_vs_LGE_1.100UP_100DOWN	0.11318335914207288	0.1727317643565044	0.010038340291381634	1.5261233247166985	0.08869095569765742	1.5930827463605928e-08	1.6090263588454327e-08	5.137188364149057e-09	3.132114777169472
CGE_2_vs_LGE_2.100UP_100DOWN	0.11318335914207288	0.17293380658090754	0.010159942795031957	1.5279084124357292	0.08976534070064784	2.177916482336637e-08	1.569513232710834e-08	5.092184143798446e-09	3.0822004632771915
CGE_2_vs_LGE_4.100UP_100DOWN	0.11318335914207288	0.17293287965459764	0.010077859595838002	1.5279002228368612	0.08904011748924871	1.6436462308394433e-08	1.5299478683289544e-08	4.99568824449313e-09	3.062536718570166
CGE_2_vs_MGE_2.100UP_100DOWN	0.11318335914207288	0.17259838230705185	0.010171446185375878	1.5249448648223856	0.08986697569744523	2.4354348622647156e-08	1.4703226619097058e-08	5.28653402137866e-09	2.781260190445657
CGE_2_vs_MGE_3.100UP_100DOWN	0.11318335914207288	0.17206894253400457	0.009871943007579646	1.5202671473817617	0.0872207989090334	1.4302828407508989e-08	1.2082111714840286e-08	4.886128020326676e-09	2.4727374445732395
LGE_1_vs_CGE_1.100UP_100DOWN	0.12497905189242561	0.18670685854244612	0.009142768335549466	1.4939052242383153	0.07315440625536995	2.835514359515724e-10	1.4861239356915127e-08	4.1806078301824055e-09	3.554803502405226
LGE_1_vs_CGE_2.100UP_100DOWN	0.12497905189242561	0.18735684048773804	0.009152578406098549	1.499105951363781	0.07323289997412152	1.8781352989128544e-10	1.3745399362465548e-08	4.273636832954367e-09	3.2163236839578033
LGE_1_vs_LGE_2.100UP_100DOWN	0.12497905189242561	0.18700852228997847	0.009204732889264692	1.496318938720579	0.0736502057735849	2.9132053572325885e-10	1.114638035413535e-08	4.175484092241163e-09	2.6694821744974258
LGE_1_vs_LGE_4.100UP_100DOWN	0.12497905189242561	0.18691566795072795	0.009258060964245255	1.4955759794978571	0.07407690188123713	3.4211371441665737e-10	1.0553882367287141e-08	4.527027905831462e-09	2.3313049061818742
LGE_1_vs_MGE_2.100UP_100DOWN	0.12497905189242561	0.18694358019632115	0.009127154394138378	1.4957993148902333	0.07302947378729101	2.2336623436865652e-10	1.1704239297081727e-08	4.086623501056515e-09	2.864036604804878
LGE_1_vs_MGE_3.100UP_100DOWN	0.12497905189242561	0.1863404629099319	0.009045658520833584	1.4909735678769789	0.07237739752274276	2.0993896009091622e-10	1.2385010866002197e-08	4.199955982676723e-09	2.948843015756789
LGE_2_vs_CGE_1.100UP_100DOWN	0.1132729390375261	0.17477668326095755	0.010812734548056245	1.5429694395327371	0.09545734965413145	8.221163230906895e-08	1.7523917753563337e-08	5.3474736285064085e-09	3.2770461288759836
LGE_2_vs_CGE_2.100UP_100DOWN	0.1132729390375261	0.17564781078644803	0.010838834850279463	1.5506599570816981	0.09568776922693491	6.086787238051368e-08	1.7111052165119686e-08	5.378125938998035e-09	3.1816012416227535
LGE_2_vs_LGE_1.100UP_100DOWN	0.1132729390375261	0.174955078953908	0.01075141991698801	1.5445443584362835	0.09491604974976575	6.234321319049456e-08	1.5440685832750633e-08	5.385346463908605e-09	2.867166659792583
LGE_2_vs_LGE_4.100UP_100DOWN	0.1132729390375261	0.17481517942386937	0.010836727938763557	1.5433092926630516	0.09566916891927266	8.750906420526217e-08	1.302587915546765e-08	5.691149989511786e-09	2.2887956176648
LGE_2_vs_MGE_2.100UP_100DOWN	0.1132729390375261	0.17502510209967215	0.010807189574585293	1.5451625391452783	0.0954083973313784	7.182409060400739e-08	1.6014290437194114e-08	5.2145898966614575e-09	3.0710546283700966
LGE_2_vs_MGE_3.100UP_100DOWN	0.1132729390375261	0.17506995238108167	0.010753555344505427	1.5455584879198985	0.09493490180335915	6.225604538763897e-08	1.6305847608786526e-08	5.412301483192084e-09	3.0127382333420223
LGE_4_vs_CGE_1.100UP_100DOWN	0.11310904473442161	0.17732255175250006	0.010436433655148524	1.567713282070862	0.09226878080044897	6.742787884626111e-09	1.86814735229773e-08	5.080624094213889e-09	3.6770036862701283
LGE_4_vs_CGE_2.100UP_100DOWN	0.11310904473442161	0.17766316762045103	0.010511633204062048	1.5707246757993718	0.09293362196403665	7.448281104753933e-09	1.736515035799804e-08	5.101095865701429e-09	3.404199963140712
LGE_4_vs_LGE_1.100UP_100DOWN	0.11310904473442161	0.176822691420201	0.01052354513622676	1.5632940039002017	0.09303893566545354	1.0359894350143557e-08	1.5729552308372177e-08	5.494164866830159e-09	2.8629560068966935
LGE_4_vs_LGE_2.100UP_100DOWN	0.11310904473442161	0.1767064535259139	0.010410096762859913	1.5622663416601041	0.09203593565220773	9.2204067551408e-09	1.373517480406788e-08	5.367995722756924e-09	2.5587156759159444
LGE_4_vs_MGE_2.100UP_100DOWN	0.11310904473442161	0.1773433567475446	0.010581303259323625	1.5678972195719998	0.09354957673074131	1.1596118316087898e-08	1.5809793717253405e-08	5.0967110302468176e-09	3.101959994088146
LGE_4_vs_MGE_3.100UP_100DOWN	0.11310904473442161	0.17772664419957918	0.010612384478833713	1.5712858738828424	0.09382436659907646	9.514983305296604e-09	1.6964054064826306e-08	5.261456901501215e-09	3.2242123013468134
MGE_2_vs_CGE_1.100UP_100DOWN	0.1456617748327129	0.20880853275555988	0.00995884028708357	1.4335163291492823	0.06836962064015029	2.7154301714179676e-09	1.609998086103512e-08	4.025701859012559e-09	3.9992978677721034
MGE_2_vs_CGE_2.100UP_100DOWN	0.1456617748327129	0.20943399364045928	0.00989854361683656	1.4378102551680865	0.06795567078737484	1.6452852995163197e-09	1.401013220346854e-08	4.192260618870542e-09	3.341903921813687
MGE_2_vs_LGE_1.100UP_100DOWN	0.1456617748327129	0.209048812506689	0.010004437660003139	1.4351659022881862	0.06868265659602776	3.034679231294908e-09	1.3635133300496959e-08	4.0121790727487115e-09	3.3984358756837936
MGE_2_vs_LGE_2.100UP_100DOWN	0.1456617748327129	0.2091237404358878	0.009984691232136049	1.4356802989395028	0.06854709304210452	2.883071343045847e-09	1.3796760456752107e-08	3.880686208713414e-09	3.555237325237442
MGE_2_vs_LGE_4.100UP_100DOWN	0.1456617748327129	0.20957731005218266	0.009997821052893189	1.4387941537364513	0.06863723213846126	2.6729247588244266e-09	1.2950169911588269e-08	3.909083550350085e-09	3.3128403997475298
MGE_2_vs_MGE_3.100UP_100DOWN	0.1456617748327129	0.20949057140637803	0.009840327304636671	1.4381986739278039	0.0675560030484176	1.3985391297422374e-09	1.3360990555441268e-08	4.149248143163332e-09	3.2200991828979952
MGE_3_vs_CGE_1.100UP_100DOWN	0.11781232475094189	0.18392598636790364	0.009440343366241397	1.5611778033981387	0.08013035466534178	1.4544778204051577e-10	1.7954912985155403e-08	4.464887228916972e-09	4.021358673712941
MGE_3_vs_CGE_2.100UP_100DOWN	0.11781232475094189	0.18361320391938307	0.009377416999938217	1.558522882113954	0.07959623086771528	1.2977296523618305e-10	1.657614967986997e-08	4.513034811233329e-09	3.6729496609710424
MGE_3_vs_LGE_1.100UP_100DOWN	0.11781232475094189	0.18319008352822044	0.009465631310302324	1.5549314039553053	0.08034500066366485	1.968046183358813e-10	1.8162809372166564e-08	4.728338901961228e-09	3.841266404282689
MGE_3_vs_LGE_2.100UP_100DOWN	0.11781232475094189	0.18377724379494287	0.009518999750663332	1.5599152650917671	0.08079799605675152	1.9566827218769407e-10	1.8190085600232726e-08	4.747701721620646e-09	3.8313454944729495
MGE_3_vs_LGE_4.100UP_100DOWN	0.11781232475094189	0.184375932513696	0.00965806946553557	1.564996980608533	0.08197843040575732	2.2462686823694217e-10	1.8239649264859302e-08	4.783014428626382e-09	3.8134213343984174
MGE_3_vs_MGE_2.100UP_100DOWN	0.11781232475094189	0.184064406445656	0.009576480223798083	1.5623527235777124	0.08128589469771515	1.9750931992743227e-10	1.7616820003615987e-08	4.859393190957695e-09	3.625312731720736
