Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_fetal_FC_ExN_2.100UP_100DOWN	0.10145929675756006	0.1285955600597018	0.007501962862097422	1.2674596036968857	0.07394061561478768	0.0004297906154392273	-1.988671188746092e-08	7.025561207321064e-09	-2.830622536849832
CGE_1_vs_fetal_FC_ExN_3.100UP_100DOWN	0.10145929675756006	0.12846111405441502	0.007409193608327153	1.2661344811148907	0.07302626614918924	0.00038669828629883896	-2.058229082532503e-08	6.8784946337515474e-09	-2.9922667562072953
CGE_1_vs_fetal_FC_ExN_4.100UP_100DOWN	0.10145929675756006	0.1289251833755977	0.007442852926518873	1.2707084268844102	0.07335801808585157	0.00033103229268411624	-2.001974989846097e-08	7.046437907939269e-09	-2.8411163427559023
CGE_1_vs_fetal_GE_InN_2.100UP_100DOWN	0.10145929675756006	0.1289678004704568	0.007334483830467565	1.271128468183937	0.07228991393458528	0.00026713632925913136	-2.1150678673518217e-08	6.898339851762733e-09	-3.066053445904609
CGE_1_vs_fetal_Hipp_ExN_3.100UP_100DOWN	0.10145929675756006	0.12831347669608512	0.007382536968745806	1.2646793423247737	0.0727635337980569	0.00039904917382059784	-1.9760438805693346e-08	6.937525115966387e-09	-2.848341227654171
CGE_1_vs_fetal_Hipp_ExN_5.100UP_100DOWN	0.10145929675756006	0.12856511891676953	0.007452311046248516	1.2671595706402303	0.07345123891461647	0.0003974100522045605	-2.051193293587194e-08	6.930667231041814e-09	-2.959589928658081
CGE_1_vs_mouse_InN.100UP_100DOWN	0.10145929675756006	0.12910355476643126	0.007494591111107397	1.2724664855003673	0.07386795838942133	0.00033222173274995674	-2.025666866333376e-08	7.06816010756022e-09	-2.8659040478818376
CGE_1_vs_mouse_MSN.100UP_100DOWN	0.10145929675756006	0.12869191776305727	0.007427691399779219	1.2684093215289118	0.07320858351234096	0.00035753263149486826	-2.1313042911823957e-08	6.933250329262318e-09	-3.0740333753521947
CGE_1_vs_mouse_CA1.100UP_100DOWN	0.10145929675756006	0.12847038874903302	0.00743652075764661	1.266225894074712	0.07329560715777868	0.0004032135781116791	-2.039903637310832e-08	6.994182964114274e-09	-2.916571739368503
CGE_1_vs_mouse_SS.100UP_100DOWN	0.10145929675756006	0.12874025990083593	0.007490494484001565	1.2688857898203703	0.07382758133934557	0.00039372740647467225	-2.002354068695488e-08	6.9593127280053114e-09	-2.8772296158465718
