Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_fetal_FC_ExN_2.100UP_100DOWN	0.10145929675756006	0.1589380725781711	0.00991681443748836	1.5665205423013946	0.09774180143575088	2.2778207266735152e-08	1.562271067752717e-08	5.40439167664847e-09	2.8907436048779465
CGE_1_vs_fetal_FC_ExN_3.100UP_100DOWN	0.10145929675756006	0.15857336328547372	0.009932792367426046	1.5629259057884994	0.0978992826173509	2.8725802506538066e-08	1.6279606371905748e-08	5.3295662810409834e-09	3.0545837153424005
CGE_1_vs_fetal_FC_ExN_4.100UP_100DOWN	0.10145929675756006	0.15887891159558457	0.009993809497260609	1.5659374416445084	0.09850067777565133	2.7640815920382308e-08	1.7339722296522686e-08	5.410651920336207e-09	3.204738089203349
CGE_1_vs_fetal_GE_InN_2.100UP_100DOWN	0.10145929675756006	0.15866860661127724	0.009897351775872877	1.5638646401267742	0.09754997414897214	2.2643057080053667e-08	1.7176550869695457e-08	5.3127936823076305e-09	3.233054377190639
CGE_1_vs_fetal_Hipp_ExN_3.100UP_100DOWN	0.10145929675756006	0.15904971277797703	0.0099003080298644	1.5676208870048738	0.09757911148863443	2.0424142055679364e-08	1.7138508017552863e-08	5.353326313635908e-09	3.201468958448867
CGE_1_vs_fetal_Hipp_ExN_5.100UP_100DOWN	0.10145929675756006	0.15915171068674516	0.009919959495658541	1.5686261956560057	0.0977727996613516	2.011465975505701e-08	1.7211895816276283e-08	5.343265174529764e-09	3.2212318225046768
CGE_1_vs_mouse_InN.100UP_100DOWN	0.10145929675756006	0.15862024995687452	0.009908437296025837	1.5633880287570119	0.09765923491173348	2.5098742495534602e-08	1.7427184531386315e-08	5.325140668817372e-09	3.272624258253935
CGE_1_vs_mouse_MSN.100UP_100DOWN	0.10145929675756006	0.1588449711694868	0.009815990988972316	1.5656029190607488	0.09674806846363139	1.5505032950659156e-08	1.7824269113897633e-08	5.265957629298227e-09	3.384810583117624
CGE_1_vs_mouse_CA1.100UP_100DOWN	0.10145929675756006	0.1593238644167824	0.009819677878568986	1.570322971954866	0.09678440707147214	1.331884482987885e-08	1.7513773949714865e-08	5.297515814633038e-09	3.3060352366174213
CGE_1_vs_mouse_SS.100UP_100DOWN	0.10145929675756006	0.15881007647322154	0.009815066829253736	1.565258991028716	0.09673895978903858	1.987728499318921e-08	1.709879291546583e-08	5.3328130441735206e-09	3.206336463294449
CGE_1_vs_adult_exCA1.100UP_100DOWN	0.10145929675756006	0.15912172291474785	0.010042377586605793	1.5683306311000147	0.09897937308398999	2.8805505174493685e-08	1.789210633865322e-08	5.414636528606045e-09	3.3043965636709873
CGE_1_vs_adult_exCA3.100UP_100DOWN	0.10145929675756006	0.15928241377968105	0.009946368254513843	1.569914427460413	0.09803308885809625	1.942756450440976e-08	1.8034237989420827e-08	5.385207960358833e-09	3.3488470867184765
CGE_1_vs_adult_exPFC1.100UP_100DOWN	0.10145929675756006	0.1590882457176644	0.00986019202518289	1.5680006741798178	0.09718372135718727	1.7193676860635076e-08	1.7210012569976332e-08	5.296823258331793e-09	3.249119657316362
CGE_1_vs_adult_exDG.100UP_100DOWN	0.10145929675756006	0.15907278757413668	0.009885121211287866	1.5678483161010441	0.09742942763449909	1.7702528015184192e-08	1.7873584902652805e-08	5.335397055914339e-09	3.350000893155602
