Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0.100UP_100DOWN	0.09458814972054931	0.14407461594828108	0.012373818836737976	1.5231782879138063	0.13081785480839953	9.527907194250303e-05	2.7519513158067265e-09	1.5023226227418584e-09	1.8317978270101507
CGE.100UP_100DOWN	0.10860102875967576	0.16763846467340804	0.012475805850111916	1.5436176488196698	0.11487741868191456	7.330629627391346e-06	3.61975592915117e-09	1.4046386370554758e-09	2.577001538800907
CGE_1.100UP_100DOWN	0.10145929675756006	0.1573630827780113	0.012424294578127892	1.5509971762768568	0.12245595007243254	1.1267929072015612e-05	3.448501149459729e-09	1.4463437732322997e-09	2.3842887239407773
CGE_2.100UP_100DOWN	0.11318335914207288	0.19047326882010668	0.012882089621618915	1.682873438850812	0.11381610971139965	1.8507216663509423e-08	5.80742565504623e-09	1.4024851364597076e-09	4.140810839326192
CGE_3.100UP_100DOWN	0.09075902857145733	0.1227174834976206	0.010147610190817042	1.3521242506578992	0.11180827241696975	0.0016839105693185151	4.893309794105963e-10	1.3481455914434022e-09	0.3629659752747405
Early_InN_0.100UP_100DOWN	0.08070662097756494	0.099031510744637	0.009301541112149363	1.2270555940158374	0.11525127677858094	0.051561118136538145	-5.188610491302471e-10	1.3004680900816679e-09	-0.39898022341914074
Early_InN.100UP_100DOWN	0.08998921182944458	0.11041688985686611	0.009548880979465189	1.2270014106372866	0.10611139697015085	0.03626496321467781	-1.2799985016287445e-10	1.1520304490689422e-09	-0.11110804429372718
Early_InN_1.100UP_100DOWN	0.08256498442668615	0.09269712762303099	0.009333538853765092	1.1227171938164866	0.11304476005870065	0.28187794441851266	-1.964649289100706e-09	1.259281412568429e-09	-1.5601352243368776
Early_InN_2.100UP_100DOWN	0.08132579587291666	0.09832207671192811	0.01072397061343701	1.2089900339317994	0.13186431805960766	0.11618564419768634	-7.600226291971086e-10	1.4202690891243056e-09	-0.5351257976512854
Early_InN_3.100UP_100DOWN	0.08173712528050334	0.10443998695042071	0.009825966867594233	1.2777545893864788	0.12021424577722468	0.020765867703698485	1.3647070838714749e-11	1.4087854042687007e-09	0.009687118277463224
Early_InN_4.100UP_100DOWN	0.07387338603113924	0.07769953032061382	0.009003371751419397	1.0517932708250541	0.12187571512728927	0.6716315718828529	-3.0136846854919483e-09	1.3016820501079002e-09	-2.3152233567652987
Early_InN_5.100UP_100DOWN	0.07249378854011443	0.11067950851111334	0.009947463311292948	1.5267447148229651	0.13721814670767993	0.0001932731658384975	2.7669151885270573e-09	1.540946640996779e-09	1.7955944189847135
LGE_0.100UP_100DOWN	0.10156162585161711	0.1626081261257384	0.011830915289494587	1.6010784069497968	0.11649001471067146	5.649094063245141e-07	4.0294189195445015e-09	1.435476954301651e-09	2.807024457947348
LGE.100UP_100DOWN	0.1413659659136755	0.19378067137289323	0.012314258174300312	1.3707731568942452	0.0871090725034904	2.6452917811723754e-05	2.1683396200463907e-09	1.0900262797938918e-09	1.9892544429813126
LGE_1.100UP_100DOWN	0.12497905189242561	0.17881433351892415	0.011246649734283302	1.430754440934923	0.08998827854738196	3.5543187938622896e-06	2.654663975593568e-09	1.0849135746733729e-09	2.446889814603701
LGE_2.100UP_100DOWN	0.1132729390375261	0.1690330418424419	0.011982458238618881	1.492263229670796	0.10578394398903362	6.460096625841294e-06	3.261628272483021e-09	1.2349901032862946e-09	2.6410157164853914
LGE_3.100UP_100DOWN	0.12453534623048974	0.18276993898091398	0.011902401128938634	1.4676149744879963	0.09557448137583122	2.532804344055845e-06	2.936331885178756e-09	1.1396910123999392e-09	2.5764280434180886
LGE_4.100UP_100DOWN	0.11310904473442161	0.18955359616550138	0.011958639883726332	1.6758482631567657	0.1057266455729075	1.2114541358464609e-09	5.594011896552516e-09	1.2643450302355654e-09	4.424434598766346
LGE_5.100UP_100DOWN	0.1211573118583148	0.1723462081489993	0.012587720129227212	1.4224994389983365	0.10389567031618935	7.732434648622157e-05	2.593172115044594e-09	1.2886834839628907e-09	2.012264568697823
LGE_6.100UP_100DOWN	0.09315721992988277	0.13874309669417903	0.012028978700457901	1.4893434647213353	0.12912556546354462	0.00024992759657843346	2.7019276403326716e-09	1.4218981562132061e-09	1.9002258555060196
LGE_7.100UP_100DOWN	0.06663502852381559	0.08653769526536713	0.008853068215875969	1.298681747160028	0.132859074453789	0.02508097483120481	-3.128920149390907e-11	1.4777801800675933e-09	-0.02117310944884774
MGE_0.100UP_100DOWN	0.10365735924842803	0.1608690002212612	0.011932989106843242	1.5519303345912776	0.11511955536359283	3.7780898757899943e-06	3.229329836055442e-09	1.3766362525986412e-09	2.345811996422089
MGE.100UP_100DOWN	0.1368873066462411	0.1935742722021982	0.012291584086051754	1.414114112877198	0.08979345409883027	1.2057468118593247e-05	3.178303504008074e-09	1.118270774650744e-09	2.8421591407507854
MGE_1.100UP_100DOWN	0.09022574301406824	0.11857829907070042	0.01077751408148812	1.314240205838054	0.11945054395182604	0.009523088613519652	-2.5350081624480488e-11	1.3874254260093343e-09	-0.018271311127254733
MGE_2.100UP_100DOWN	0.1456617748327129	0.20223364536992652	0.010875052180326403	1.3883782866313712	0.07465961603733028	8.870070176945616e-07	3.1771678699561763e-09	9.797805031534808e-10	3.2427343264438067
MGE_3.100UP_100DOWN	0.11781232475094189	0.189539426679497	0.013142263324441059	1.6088251129938056	0.11155253367781445	3.299505446296367e-07	4.997716776572751e-09	1.3727405394579788e-09	3.6406856451883325
MGE_4.100UP_100DOWN	0.08927475344979055	0.13817352034285518	0.011619369053926179	1.5477334297043568	0.1301529111526596	3.7248415697302705e-05	3.087470807337689e-09	1.531435001384015e-09	2.016063890760905
MGE_5.100UP_100DOWN	0.11393908466457614	0.1559562391432204	0.0114138078003444	1.3687685801789442	0.10017464888317619	0.0003630894517021809	1.972041285142887e-09	1.2145780751576449e-09	1.62364307859495
Microglia.100UP_100DOWN	0.093640682961149	0.10423415806260068	0.010408136821534738	1.113128981618458	0.11114973206520734	0.3138564326806288	-1.9177719220549217e-09	1.382177413587196e-09	-1.387500550365445
Progenitor_0.100UP_100DOWN	0.09360595817021489	0.11326557745773663	0.010266227361211914	1.2100252983017632	0.10967493482138826	0.05671813308116082	-3.734982745338509e-10	1.2154600841266386e-09	-0.307289625888641
Progenitor.100UP_100DOWN	0.10917256191287633	0.10156694766004391	0.00955417322204885	0.930334013239499	0.08751441804281765	0.42639627193216956	-3.117104822635036e-09	1.0436409393169014e-09	-2.9867598186357918
Progenitor_10.100UP_100DOWN	0.12351339731082496	0.1427444591825293	0.011755674191277857	1.1557002097781248	0.09517732041403064	0.11011306007894268	-5.695269092271733e-10	1.15610956109245e-09	-0.49262364778733136
Progenitor_1.100UP_100DOWN	0.09918121627019175	0.10135646611066801	0.008927666752717537	1.0219320746637186	0.09001368493401596	0.8078427242470276	-2.6882996831451753e-09	9.968273431913864e-10	-2.6968558813188914
Progenitor_2.100UP_100DOWN	0.09594979768196084	0.11566658823418549	0.009320579035195967	1.205490694389776	0.09714016350602783	0.03699002679754316	-6.375864321023959e-10	1.1235188521839805e-09	-0.5674906396657319
Progenitor_3.100UP_100DOWN	0.10508224994501908	0.10270530020990762	0.009371329433681524	0.9773801023830845	0.08918089818770318	0.7996375654353354	-3.06858347189575e-09	1.0432318781241043e-09	-2.9414203459863093
Progenitor_4.100UP_100DOWN	0.0791622904203696	0.0885396086933884	0.009139621082962067	1.1184568842465665	0.11545422744123016	0.3057339507516463	-1.771888877620059e-09	1.3430266433531646e-09	-1.3193251871728655
Progenitor_5.100UP_100DOWN	0.08157021143036111	0.0935348483860991	0.008388062702636086	1.146678998937652	0.10283242565574593	0.15157302230593692	-1.2434128567609213e-09	1.1260064742190104e-09	-1.1042679462596723
Progenitor_6.100UP_100DOWN	0.09942462531195695	0.09264301547673992	0.009017767553749641	0.9317914468982016	0.09069953771970767	0.45234717224524157	-3.6436155029591316e-09	1.107724007482127e-09	-3.2892809746365645
Progenitor_7.100UP_100DOWN	0.11147731506574476	0.09341550595558108	0.009269001675538234	0.8379777168160933	0.08314697631595949	0.0516374099291464	-4.543520935837731e-09	1.04762372087175e-09	-4.336977910405628
Progenitor_8.100UP_100DOWN	0.11149140628525427	0.09398517470395965	0.010084791806913712	0.8429813367273853	0.09045353487704205	0.08074113924601364	-4.982512653348765e-09	1.1462890198290767e-09	-4.346646061472095
Progenitor_9.100UP_100DOWN	0.07660272104803781	0.0877099530201251	0.008767964371916325	1.144997877622675	0.11446022088977632	0.20379834233602082	-1.4839845305471523e-09	1.2339426921813152e-09	-1.2026365081216397
