Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_1_vs_skene_InN.100UP_100DOWN	0.0965657852776616	0.15259611887464683	0.009387538140418455	1.5802296686748596	0.09721391602031593	1.3901658445452021e-08	1.8172437544726573e-08	5.348517933366717e-09	3.397658523561801
CGE_1_vs_skene_MSN.100UP_100DOWN	0.0965657852776616	0.15254539462776973	0.009305014532573616	1.5797043869021152	0.09635933168066028	9.624683480942647e-09	1.8457109483749472e-08	5.3193573115030235e-09	3.469800655022041
CGE_2_vs_skene_InN.100UP_100DOWN	0.109291498515641	0.1638814293499632	0.009371908666933928	1.4994892702153744	0.08575148839772463	2.6750213598536956e-08	1.4416956805496086e-08	4.872383245222506e-09	2.958912729131534
CGE_2_vs_skene_MSN.100UP_100DOWN	0.109291498515641	0.16349234023006978	0.00942737897972591	1.4959291660427911	0.08625903302420848	3.677327113383995e-08	1.3702389290010521e-08	4.889272434125896e-09	2.8025415794733135
LGE_1_vs_skene_InN.100UP_100DOWN	0.12311901091717231	0.18284272863617418	0.009418694667316952	1.4850893235260043	0.07650073369784728	2.30699427035e-09	1.3685358273823807e-08	4.306093314495649e-09	3.178137879119952
LGE_1_vs_skene_MSN.100UP_100DOWN	0.12311901091717231	0.18259594767508236	0.009472611089188525	1.4830849136525541	0.07693865487240777	3.7700546727329135e-09	1.1066243295290624e-08	4.400575948529948e-09	2.514726123290157
LGE_2_vs_skene_InN.100UP_100DOWN	0.10936816145987718	0.17052183405884247	0.010810787009055292	1.5591542527794995	0.09884766155661617	1.0795727450451639e-07	1.9221244823261847e-08	5.578217254453697e-09	3.4457684142573397
LGE_2_vs_skene_MSN.100UP_100DOWN	0.10936816145987718	0.16970308550820223	0.010835620781975006	1.5516680836813694	0.09907472739175709	1.610641108019021e-07	1.675680960206721e-08	5.505351253342658e-09	3.043731240925464
LGE_4_vs_skene_InN.100UP_100DOWN	0.10883839870736546	0.17193876101808325	0.010750429561615137	1.5797619503790767	0.09877423491427773	4.1656166229458717e-08	2.0022607419644253e-08	5.537239810078316e-09	3.615990657150365
LGE_4_vs_skene_MSN.100UP_100DOWN	0.10883839870736546	0.17062211242021436	0.01081141862931787	1.567664670250866	0.09933459842960943	9.025498717612424e-08	1.5237465602821575e-08	5.547631400852138e-09	2.746661503228394
MGE_2_vs_skene_InN.100UP_100DOWN	0.1405382745201059	0.1958405097654512	0.009989314900289351	1.393503018549111	0.07107896360902201	1.6386855710480755e-07	1.2373497460295646e-08	4.249825031506943e-09	2.911531032115959
MGE_2_vs_skene_MSN.100UP_100DOWN	0.1405382745201059	0.19526433151553518	0.009855175930902243	1.389403222590441	0.07012449786049087	1.6021427688606833e-07	9.925116099228393e-09	4.170166881708886e-09	2.380028517026924
MGE_3_vs_skene_InN.100UP_100DOWN	0.11594339288718855	0.17270437759954554	0.008902507186495639	1.48955773415726	0.07678322123243077	3.683663056641696e-09	1.50510718928477e-08	4.344439226257551e-09	3.464445261860231
MGE_3_vs_skene_MSN.100UP_100DOWN	0.11594339288718855	0.17313913256206137	0.00907111106549486	1.4933074515985878	0.07823741258219806	5.205188291719949e-09	1.5068054988830286e-08	4.511820790486894e-09	3.339683841299959
