Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0.100UP_100DOWN	0.08601582343299348	0.1199138704317413	0.008522963520298295	1.3940908270808392	0.09908599581026743	8.671864351156815e-05	8.18160522013268e-09	5.523385870235636e-09	1.4812662762204662
CGE.100UP_100DOWN	0.09815876409268734	0.15380114941121642	0.009384273972379908	1.5668611033650366	0.09560301679754972	5.1145789310274956e-09	1.8566637132835247e-08	5.264693009472459e-09	3.526632436008969
CGE_1.100UP_100DOWN	0.09320704245600561	0.14738435221113808	0.009476504640419778	1.581257685337506	0.10167155174881508	5.144854114218689e-08	1.8954913164883158e-08	5.574442160309687e-09	3.400324663845848
CGE_2.100UP_100DOWN	0.10688223548474382	0.16024495328338667	0.009353343687708052	1.4992664829344793	0.08751074156792998	5.4440153970254406e-08	1.565007105042147e-08	4.918993982929478e-09	3.1815592994690274
CGE_3.100UP_100DOWN	0.08468286116844057	0.11643165687543355	0.007811734348667568	1.3749140648878437	0.09224693451405051	5.511815938651551e-05	5.489953400747673e-09	5.202906167627295e-09	1.055170557352427
Early_InN.100UP_100DOWN	0.08146603705755877	0.09483864934275096	0.007549915221604662	1.1641495372573967	0.09267561666551138	0.07969794035940399	-1.0210105785809465e-09	4.978996389246484e-09	-0.20506353063161492
LGE_0.100UP_100DOWN	0.09363095330958292	0.14097858008505265	0.008383364949554691	1.5056834850214411	0.08953625540728818	1.1161894693909953e-07	1.5205668771593113e-08	4.932094704425385e-09	3.083004216839071
LGE.100UP_100DOWN	0.12093084583048364	0.1764537849356933	0.009859158592557676	1.4591296680669847	0.08152724414396206	5.47157144074031e-08	1.5188986245582916e-08	4.576647488553669e-09	3.318801870489484
LGE_1.100UP_100DOWN	0.11656894238184219	0.17182770131427727	0.009066077985325044	1.47404358144921	0.07777438655681976	9.420975707652246e-09	1.4087697700719753e-08	4.2895161869109375e-09	3.284216001726969
LGE_2.100UP_100DOWN	0.10591061234904152	0.16142062432457452	0.010529161616104966	1.5241213391590342	0.09941554847596208	4.861945102142559e-07	1.7794159654593836e-08	5.446267739800504e-09	3.267220875785595
LGE_3.100UP_100DOWN	0.11112268604142247	0.150684352272483	0.009677098897534483	1.356017908137258	0.08708481807150714	8.063433913211918e-05	7.087312833017996e-09	4.833306876683338e-09	1.4663486126255194
LGE_4.100UP_100DOWN	0.10660074659978035	0.16704313950646388	0.01071841950886054	1.5669978385199046	0.10054732120312022	1.2281017856184517e-07	2.014811093851564e-08	5.5437030582917515e-09	3.6344138072799526
LGE_5.100UP_100DOWN	0.11333567851486598	0.15693522159290918	0.010252161487629852	1.3846938903032584	0.09045837658513775	4.073024079449186e-05	1.0360587719296364e-08	5.063294393140842e-09	2.0462147595707005
LGE_6.100UP_100DOWN	0.08979344452983053	0.1260176831741976	0.00953730781352053	1.4034174079638175	0.106213854067622	0.0001440024598791733	8.939455734558532e-09	5.613616322646936e-09	1.5924593382868377
LGE_7.100UP_100DOWN	0.08705890918192251	0.10989112303987898	0.00922805568570071	1.2622616579107966	0.10599783264475918	0.013931281643212542	3.881048563428334e-10	5.642565671384503e-09	0.06878162859690828
MGE_0.100UP_100DOWN	0.09597999315233832	0.144700940099798	0.00933397043265422	1.507615653505313	0.09724912584479405	4.806637876234184e-07	1.3803971632107867e-08	5.43288808477093e-09	2.540816489631388
MGE.100UP_100DOWN	0.11477549919403257	0.16750292417445475	0.00896183591676633	1.4593961720984054	0.07808143706363663	2.9965354186501995e-08	1.6557529028673505e-08	4.516250724094732e-09	3.6662112092973778
MGE_1.100UP_100DOWN	0.08324236947882115	0.12190765475359742	0.008666802722392597	1.4644904453928795	0.10411528139642444	1.6734887514072145e-05	1.1069663890763772e-08	5.760097417877511e-09	1.9217841449012747
MGE_2.100UP_100DOWN	0.12351809438399479	0.17451273420361035	0.009175115320469537	1.4128515750986468	0.07428154851503627	1.591598810047377e-07	1.470847658686024e-08	4.203231680290833e-09	3.4993256869063476
MGE_3.100UP_100DOWN	0.1088352114077145	0.16348542061466648	0.009030750713707972	1.5021372081708313	0.0829763694754752	1.994766476334662e-08	1.673800087942618e-08	4.69445152019902e-09	3.5654859374746675
MGE_4.100UP_100DOWN	0.08650834510537296	0.12709901918066763	0.00901516676156298	1.4692110804553307	0.10421152722990946	1.5397763227992808e-05	1.2752369761118065e-08	5.936589416316506e-09	2.1480969740081113
MGE_5.100UP_100DOWN	0.10855640656456236	0.15113110846853442	0.009528086632564842	1.3921896758681982	0.08777083669307117	2.307061616613253e-05	1.1725947010725642e-08	5.054140186272018e-09	2.320067623485294
Microglia.100UP_100DOWN	0.07864057979329188	0.0668555062347728	0.008303164076175642	0.8501400474221279	0.1055837087925935	0.1536291391933996	-1.8067651082237487e-08	5.291964573427247e-09	-3.4141670511101503
Other.100UP_100DOWN	0.07703736806886044	0.06509063667668508	0.00661166736154808	0.8449229031098688	0.08582415946035683	0.06862190571147375	-1.829790518865456e-08	4.2095233310860955e-09	-4.3467879257325635
Progenitor_0.100UP_100DOWN	0.07663207775534925	0.08180399966724738	0.0074714118035257	1.0674902999290936	0.09749718423893529	0.4894379142126455	-6.135101062160487e-09	5.036704642780162e-09	-1.2180783860246434
Progenitor.100UP_100DOWN	0.08407861625566437	0.08039299954386486	0.007179043372175884	0.9561646364327361	0.08538488966500127	0.6070737742930452	-1.0004088820075961e-08	4.480054749814603e-09	-2.2330282504895633
Progenitor_10.100UP_100DOWN	0.11165966215630216	0.13467546919822004	0.009155153400367964	1.206124634424383	0.08199159144465708	0.012704795098369753	1.1646840724490559e-09	4.448409178584018e-09	0.2618203554781327
Progenitor_1.100UP_100DOWN	0.08208890251040109	0.08197467202265334	0.0074986742994219485	0.9986084539535258	0.09134820992973841	0.9878417746782255	-1.0017194513881754e-08	4.937127303366979e-09	-2.0289520399950627
Progenitor_2.100UP_100DOWN	0.07414397099624419	0.08025531499339833	0.00665159995398771	1.0824253666891366	0.08971194642818162	0.36179625822936146	-5.075058103039889e-09	4.656749688672562e-09	-1.089828408725694
Progenitor_3.100UP_100DOWN	0.08025184364315731	0.07405473474706009	0.006862764333888036	0.9227792332889836	0.08551534796388682	0.36658679766116786	-1.3333768446127218e-08	4.37318640301934e-09	-3.0489824163272123
Progenitor_4.100UP_100DOWN	0.07441338169305667	0.08213734848146785	0.006617372218650207	1.1037980886323822	0.08892718040883846	0.2438969856270909	-5.540772841824295e-09	4.653771555175415e-09	-1.1905983729825445
Progenitor_5.100UP_100DOWN	0.07069715805265385	0.08518371050839506	0.007147131804094232	1.2049099688696385	0.10109503692879973	0.04364190667764371	1.7481512352278519e-09	5.127545575616437e-09	0.3409333392453928
Progenitor_6.100UP_100DOWN	0.08940627149854584	0.08696623049009447	0.0070066184872251	0.9727083909489386	0.07836831096730233	0.7276840725148541	-1.2508663800685844e-08	4.206975923433304e-09	-2.9733148057756296
Progenitor_7.100UP_100DOWN	0.09139682400687517	0.0918410966715001	0.007120431124982728	1.0048609201627348	0.07790676757484599	0.9502264285617976	-9.19870847215056e-09	4.176277040270312e-09	-2.2026097367226307
Progenitor_8.100UP_100DOWN	0.09131848353650691	0.08358601130918986	0.007542516202040898	0.9153241279546018	0.08259572334034197	0.3030622298367539	-1.58768332312575e-08	4.584250222850228e-09	-3.4633435042701888
Progenitor_9.100UP_100DOWN	0.06899715307040125	0.08539955556962575	0.007743693500113116	1.2377257867797575	0.11223207270902669	0.03536991904742043	2.472753590230637e-09	5.6966431917389605e-09	0.4340720503289592
