Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0	0.03993183204809669	0.061372391131760566	0.00629316051132008	1.5369290108663027	0.1575975904070757	0.0008847818004630167	-1.4149805208121718e-08	1.4219427482419519e-08	-0.9951037216945703
CGE_1	0.046277577900539144	0.06781374434911694	0.006133902250724343	1.465369352191764	0.13254587921406497	0.0006760042251068432	-4.738343329045083e-09	1.2158274716806489e-08	-0.38972168662180584
CGE_2	0.06155648591154841	0.058705691568885394	0.005657109876320335	0.9536881564883453	0.09190111801458478	0.6145531394018627	-2.2428982601805586e-08	9.768205486300643e-09	-2.2961210872622377
CGE_3	0.03717934717057539	0.06664634480064048	0.006778017682195049	1.7925636105140106	0.18230598969632614	2.273737063560141e-05	7.367930683091069e-09	1.5692035880117178e-08	0.4695331274654242
CGE	0.0506255578822843	0.06108573411691695	0.005994280250544037	1.2066184882140931	0.11840423101078854	0.08366219518076397	-1.743522028731102e-08	1.0685928961250224e-08	-1.6316054832982108
Early_InN	0.030927878286755982	0.06426847745477429	0.007567592060974359	2.078011199439294	0.24468513458341476	2.0236584652484185e-05	3.640280827018602e-08	2.2051756116169936e-08	1.6507895370515573
LGE_0	0.04680247582726782	0.06888600940302317	0.005508694031952124	1.4718454138464434	0.11770091078691775	0.00012218926191052184	-5.402905460664776e-09	1.1150106758964853e-08	-0.4845608725961981
LGE_1	0.06725403566655411	0.06395477485369422	0.005092534510172127	0.9509433035480928	0.07572087622252056	0.5171213701350448	-2.2813674960465773e-08	8.088259091455634e-09	-2.8205915145035276
LGE_2	0.05998145662613596	0.06228271027428031	0.004841670525351692	1.0383660847466252	0.08071945560658511	0.6341676506969723	-1.9303311453250726e-08	8.55155017827589e-09	-2.257287982977437
LGE_3	0.06444350838486274	0.05785774135513573	0.004463771653806371	0.8978055789514721	0.06926642831343545	0.13984983138158857	-2.3827700116405664e-08	7.62472338102022e-09	-3.125057648087086
LGE_4	0.0628342575663558	0.07004632622224737	0.005980180708116685	1.1147792451955894	0.09517388984506335	0.229417877978933	-5.554538488837895e-09	9.521812675379908e-09	-0.5833488515479829
LGE_5	0.06536698652057427	0.061689294691202635	0.004572144862214579	0.9437377791889783	0.0699457800578813	0.4226365531691968	-1.811735597908192e-08	7.857032360017548e-09	-2.305877734610916
LGE_6	0.040190842082890255	0.07349443245543266	0.006949989290670271	1.828636292413494	0.17292469952076392	4.185331993505113e-06	1.7759564223296687e-08	1.5781616558519366e-08	1.1253323864157356
LGE_7	0.037383334348236645	0.04171310845588815	0.0038404364250267525	1.1158209716479113	0.10273124353360161	0.25958654445786866	-2.7659555528247397e-08	9.284403190816962e-09	-2.979142004044479
LGE	0.07586008022936479	0.056473425451892316	0.004603225331787708	0.744441942074719	0.06068047012169965	4.145944608680922e-05	-2.9647754625695244e-08	6.875959298484881e-09	-4.311799028861055
MGE_0	0.046866389572900166	0.057086992599199346	0.004394937337116665	1.2180795900738448	0.0937758888015128	0.02093784539606144	-2.927652518367548e-08	8.640968539980006e-09	-3.388106905865812
MGE_1	0.03746100380815207	0.06244812907153844	0.005872395049289531	1.6670169702699957	0.15676021601993512	3.3015602267502554e-05	1.6137666361094813e-09	1.3076301677259995e-08	0.12341154830618971
MGE_2	0.07983632042024043	0.059368769079552824	0.005820037709779381	0.7436310787752866	0.07289962361922508	0.000589433968906927	-1.964210503801727e-08	8.23119944756085e-09	-2.3862992463191754
MGE_3	0.06483269444750593	0.07124721822097163	0.005970175900617085	1.0989396450067248	0.09208588277093817	0.2836372698429459	-5.708327343954221e-09	9.754645830656303e-09	-0.5851906305008471
MGE_4	0.0405080622744671	0.060227656840742244	0.006678689719475727	1.486806661663121	0.16487309795821598	0.003898387258893331	-8.904685866643667e-09	1.4714487885735249e-08	-0.6051645110446683
MGE_5	0.057675193699748654	0.06203765502318483	0.005070713099755017	1.075638433849858	0.087918440745126	0.38831585528499213	-1.3504934197183117e-08	8.880335037411693e-09	-1.5207685453632764
MGE	0.0762964047763195	0.060101133555448966	0.005829677718451173	0.787732183864355	0.07640828864141393	0.006179394460281298	-2.000419533178961e-08	8.490586627083826e-09	-2.356043959080392
Microglia	0.03177972605662758	0.07259051414791419	0.010964800668165199	2.284176837099438	0.34502502156964054	0.00028248582342232405	3.924031098520134e-08	3.0358574401680365e-08	1.2925610559311824
Other	0.02922988633586187	0.07187722833582583	0.008573099303628491	2.4590320848302563	0.29329909822845385	1.08093466509281e-06	4.869489339743681e-08	2.6224634713165955e-08	1.8568378141408302
Progenitor_0	0.030295115429734384	0.054881459951286085	0.0054019791379635515	1.8115613415824923	0.17831188498003073	5.468293741935188e-06	1.1065229543921195e-08	1.6031833983800363e-08	0.6902036008545399
Progenitor_10	0.06239055190441993	0.07841659238211475	0.008954224239204564	1.2568664643686136	0.143518913775953	0.07488952805560363	2.9071155866871394e-09	1.3899578437644614e-08	0.2091513494260889
Progenitor_1	0.032677370289905035	0.052853541427236334	0.00496452385324363	1.617435581821108	0.151925439813537	6.848400912684878e-05	-4.686544430218212e-09	1.4253220193500029e-08	-0.32880600780695446
Progenitor_2	0.02615699396711277	0.05082434287002955	0.005371757372404262	1.9430498372225444	0.2053660057099138	4.403916813748029e-06	1.071705482084992e-08	1.8908874279350904e-08	0.5667738154329625
Progenitor_3	0.03389122819908008	0.057193088473158134	0.006293713921358044	1.687548416280486	0.18570332961638952	0.00024537564537237575	-3.1305789748465383e-10	1.7026367784287735e-08	-0.0183866518949244
Progenitor_4	0.023838485099961264	0.04941508912765752	0.007235903983345278	2.072912306316722	0.3035387505960702	0.0005591999420285123	1.9895874009700904e-08	2.7494274842342108e-08	0.7236369798362745
Progenitor_5	0.027840559193270973	0.06183668443880152	0.00716273327396061	2.2211006614316626	0.2572769183347378	4.696771934839646e-06	5.204053845366085e-08	2.3763087960613313e-08	2.1899737332082707
Progenitor_6	0.04309967239592166	0.06469693840715678	0.0069631369661212646	1.5011004680694224	0.1615589302432878	0.0021560384710164466	4.171795226113559e-09	1.487508833125209e-08	0.28045515651485237
Progenitor_7	0.045322897778770875	0.0655588392565816	0.006597075465610089	1.4464838408299918	0.1455572302064971	0.0024546829725404415	-1.3940169049662424e-09	1.3038970208608143e-08	-0.10691157987660192
Progenitor_8	0.04219816985254042	0.0656598620512574	0.006134366107894592	1.5559883824512484	0.1453704302658351	0.0001877289592145725	1.0611446685568645e-08	1.3334429510004447e-08	0.7957930766822214
Progenitor_9	0.025625050430629345	0.05093156902070221	0.005610832439928176	1.9875695136125178	0.2189588838124435	8.26541460780107e-06	2.2767917449689347e-08	1.9888112308064647e-08	1.144800325793461
Progenitor	0.03673396398250743	0.05250742556826369	0.006078019175208348	1.4293972083510378	0.1654604762530577	0.009945544228381039	-4.241970819674078e-09	1.514484784593328e-08	-0.2800933269734459
