Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE_0.0UP_0DOWN	0.03020956159699817	0.05223192041068084	0.004865942504626277	1.728986375488182	0.1610729268282328	8.577601974426852e-06	7.39890347940644e-09	8.326433986226103e-09	0.8886041121140191
CGE_0.100UP_100DOWN	0.0926043073167483	0.1270076043249305	0.008872066710584998	1.3715086047834413	0.09580619916780488	0.0001263432845924154	6.733549772687278e-09	5.461188918809855e-09	1.2329823913424893
CGE_0.10UP_10DOWN	0.036830924992941806	0.06319021731067401	0.005728230620772184	1.715683690344015	0.15552774256606178	5.972716504214289e-06	1.0583298099497495e-08	8.12230470158592e-09	1.3029920063736409
CGE_0.35UP_10DOWN	0.04529119253487451	0.07310911641377711	0.006358358685732191	1.6142016211536632	0.1403884139468444	1.532666931609603e-05	1.0000127305228676e-08	7.453391249030943e-09	1.3416882290365273
CGE.0UP_0DOWN	0.04225285720444632	0.08183773717111034	0.006624786537129506	1.93685687988216	0.15678907831190106	3.518638689026655e-09	2.363357439113337e-08	7.950529320045071e-09	2.972578735298519
CGE.100UP_100DOWN	0.10641621872525124	0.16552437887498705	0.009850668585201793	1.5554431538517932	0.0925673614717937	3.3790431697122357e-09	1.8259061203008285e-08	5.12908487085376e-09	3.5599062333255915
CGE_1.0UP_0DOWN	0.0361146213345425	0.07536805250350795	0.007269694273188093	2.0869124392956264	0.2012950435184228	2.1356056536545263e-07	2.9151535831345407e-08	9.952774106651008e-09	2.92898598109091
CGE.10UP_10DOWN	0.0490515351125511	0.09414502658159657	0.00734766092758629	1.9193084653839332	0.14979471918109655	1.2548410429507843e-09	2.5429557138588243e-08	7.6463381070797e-09	3.3257170664534392
CGE_1.100UP_100DOWN	0.0965657852776616	0.15284334023903634	0.009471798735289343	1.5827898028225669	0.09808648796314856	1.5553711916192263e-08	1.9113056147212915e-08	5.3991809421186395e-09	3.5399917787739392
CGE_1.10UP_10DOWN	0.042678110078929285	0.08780217344266023	0.007849041250640485	2.0573116588405176	0.18391257804350747	3.699580821406816e-08	3.063741585356009e-08	9.219602149812737e-09	3.3230735291741826
CGE_1.35UP_10DOWN	0.05094227481602152	0.09972073669623358	0.008342399323861252	1.9575242184683725	0.16376181381750035	2.154439083931143e-08	2.9282732534395027e-08	8.336920724199538e-09	3.5124158551005755
CGE_2.0UP_0DOWN	0.04791735969464998	0.08612103300886248	0.007259475170055962	1.7972825205241425	0.15149989933327834	4.543334657538696e-07	2.1481970668534178e-08	7.789255803870333e-09	2.7578977002989418
CGE_2.100UP_100DOWN	0.109291498515641	0.16387935625424999	0.009441322107473699	1.4994703017160733	0.08638661044731238	3.3279091709668644e-08	1.5730105171281076e-08	4.883591334087529e-09	3.2210117708836004
CGE_2.10UP_10DOWN	0.05430806324743225	0.09642139130378455	0.007739425094570129	1.7754525854564231	0.14250968699267796	1.9302964741298234e-07	2.163164680012038e-08	7.418451393113004e-09	2.9159248546404632
CGE_2.35UP_10DOWN	0.06259537784514722	0.10631356188767685	0.008166369284929592	1.6984251161592585	0.13046281636213014	2.7991381975833833e-07	1.981089744747974e-08	6.849655555976906e-09	2.8922472503296968
CGE_3.0UP_0DOWN	0.028229745255914162	0.051875991494133106	0.004583511488070685	1.8376358349625925	0.1623646067833515	4.908637676843823e-07	1.318241653772947e-08	8.37258459003446e-09	1.574473974669656
CGE_3.100UP_100DOWN	0.08849537480882493	0.12182809612422033	0.007853459387773216	1.376660603872276	0.0887442920575105	2.5322334239517397e-05	5.9022345760683646e-09	5.047771528308718e-09	1.1692753015796535
CGE_3.10UP_10DOWN	0.03469744725815903	0.061558570114555025	0.0052209714464262974	1.7741527109052573	0.15047134181315305	4.843330714444477e-07	1.336591879073831e-08	7.87172108610237e-09	1.6979665113307967
CGE_3.35UP_10DOWN	0.04276349615905229	0.07202703836352017	0.005937437732122733	1.6843112662170232	0.13884359945780253	1.2979148436288411e-06	1.3007108762214056e-08	7.376381973202274e-09	1.7633453377913049
CGE.35UP_10DOWN	0.05772115791576772	0.10672769955216385	0.007933330574116071	1.8490221507321665	0.1374423324232884	9.326211746418531e-10	2.486408938003409e-08	7.077971408776077e-09	3.5128835571735646
Early_InN.0UP_0DOWN	0.023774235849102498	0.034682403988131306	0.004141264725317213	1.4588230809294593	0.17419128638254633	0.008922395773830003	-4.826033988883051e-09	8.787343357732975e-09	-0.5492028469146002
Early_InN.100UP_100DOWN	0.09093617533100526	0.10693571983775985	0.007832608641822492	1.1759425712431457	0.08613303356240798	0.04305770754895862	-7.782257617517968e-10	4.711528348481314e-09	-0.16517480193080988
Early_InN.10UP_10DOWN	0.030749892764142008	0.04305925657615424	0.004839252928616028	1.4003059102165845	0.15737462779900055	0.01166182595523104	-2.5091979449624975e-09	7.949624438398731e-09	-0.3156372938628932
Early_InN.35UP_10DOWN	0.03949382997500989	0.052509547354810504	0.005333025879197959	1.3295633112320693	0.1350344061989552	0.01541868197963045	-1.5832776792422882e-09	6.916295538002147e-09	-0.22891989946682303
LGE_0.0UP_0DOWN	0.03766163593354916	0.07433767961453445	0.006206656729563543	1.9738303388014566	0.16480050788326547	3.5018229085385997e-08	2.556210349542718e-08	8.539712467928914e-09	2.993321331535019
LGE_0.100UP_100DOWN	0.09916746055590868	0.14655557838701505	0.008687171414266082	1.4778595475316207	0.08760102724792901	2.588838022678385e-07	1.4084475088501585e-08	4.928203680319808e-09	2.8579328295107307
LGE_0.10UP_10DOWN	0.044283167082106015	0.08513216265296547	0.0066439162911059125	1.9224497311838782	0.15003254574785355	9.984823786308973e-09	2.5408069859409614e-08	7.87407882306554e-09	3.22679902377682
LGE_0.35UP_10DOWN	0.05254582204567937	0.09457881129785776	0.007140170047806351	1.7999301869449884	0.1358846387748816	3.4539086081476486e-08	2.2278669394011763e-08	7.2187860620193905e-09	3.086207182566026
LGE.0UP_0DOWN	0.06676872735654257	0.10618333690128837	0.007915060397327409	1.5903154231811731	0.11854442507285295	1.2935507847193605e-06	1.2158110017137363e-08	6.786160767484535e-09	1.7916035935063885
LGE.100UP_100DOWN	0.13828049209893578	0.19884326453547574	0.01057428129563742	1.4379704723151332	0.0764697979818572	3.0070420077474886e-08	1.3723827318430741e-08	4.41785718349684e-09	3.1064443118933065
LGE_1.0UP_0DOWN	0.05658044014595148	0.1003589530849558	0.007592390021936385	1.7737393492534859	0.13418753905681036	5.736500362923174e-08	1.9200561410752577e-08	7.108961910212855e-09	2.700895243673865
LGE.10UP_10DOWN	0.07409431622273453	0.11803980504111711	0.008412307712363893	1.593102022647436	0.11353512848510132	4.0376313720742456e-07	1.3879523444256492e-08	6.469472198252293e-09	2.145387292645913
LGE_1.100UP_100DOWN	0.12311901091717231	0.18290084862634548	0.009408014448250937	1.485561387017567	0.0764139865823007	2.2159723624893884e-09	1.4622633653100714e-08	4.237601072430554e-09	3.450686698244022
LGE_1.10UP_10DOWN	0.06355290976134004	0.11186411867001175	0.008059256310379065	1.7601730446346924	0.1268117595345981	1.8147399819630295e-08	2.0402410223291624e-08	6.759990932315177e-09	3.018112069612519
LGE_1.35UP_10DOWN	0.07229449843562301	0.12295405177354232	0.008418494784723986	1.7007387067361808	0.11644723965019978	1.6768087839222258e-08	1.9334397724204475e-08	6.2644812667545915e-09	3.086352548743585
LGE_2.0UP_0DOWN	0.04690866323142865	0.08949519640347539	0.00793925217349812	1.9078607284531166	0.16924916692528655	5.003076737464206e-07	2.7062529076798688e-08	8.709709141658271e-09	3.1071679474759315
LGE_2.100UP_100DOWN	0.10936816145987718	0.1702418219136977	0.010776784897154673	1.5565939816603083	0.09853676566656235	1.1233574645015373e-07	1.983639213606177e-08	5.447645911557502e-09	3.6412778029456163
LGE_2.10UP_10DOWN	0.05345420244620216	0.10066625980464666	0.008503928718833128	1.8832244276015544	0.1590881227232176	2.0973974114111665e-07	2.732937631867647e-08	8.270436415230209e-09	3.304466045872593
LGE_2.35UP_10DOWN	0.06167559026692628	0.11094057358477445	0.008854123596050771	1.798776032862172	0.14355960855390176	1.8978147329537174e-07	2.5000428681336243e-08	7.53312345376632e-09	3.318733435708774
LGE_3.0UP_0DOWN	0.05491666972815186	0.08494313301639625	0.006693167073078085	1.5467640961639006	0.12187860455141503	1.3719525176048634e-05	5.6794906719754724e-09	6.73550104230119e-09	0.84321725084836
LGE_3.100UP_100DOWN	0.12257163414027372	0.1639454877737925	0.009878837072977716	1.337548356303789	0.08059643768534695	4.900796661235955e-05	6.0050598244429736e-09	4.5200555199576675e-09	1.3285367398538535
LGE_3.10UP_10DOWN	0.06204632354211656	0.09544998093044843	0.007228791969438177	1.5383664249769404	0.11650637067208873	7.757575555560255e-06	7.2077984797188534e-09	6.412068375669681e-09	1.1240988176402698
LGE_3.35UP_10DOWN	0.07113633439403311	0.10605728018761922	0.007868736587399451	1.4909016762116893	0.11061487289763244	1.764730903712473e-05	7.0894125732006955e-09	6.089575863991753e-09	1.164188234376235
LGE.35UP_10DOWN	0.0835213420745865	0.1295292309327981	0.00872312157104365	1.5508518866606034	0.10444182713507764	3.045324348249145e-07	1.344904110168571e-08	5.924222532534502e-09	2.270178243276074
LGE_4.0UP_0DOWN	0.046226077848284204	0.08946948259877327	0.007528236436233351	1.9354763969466675	0.16285691511491235	6.891177377291774e-08	2.8387470744195364e-08	8.31592612056793e-09	3.413627097285547
LGE_4.100UP_100DOWN	0.10883839870736546	0.17153865824488804	0.010789503502128227	1.5760858325939284	0.09913324369221967	5.668467817419713e-08	2.0496018281964205e-08	5.475005584235171e-09	3.743561164755851
LGE_4.10UP_10DOWN	0.05279426366584082	0.10067919510464882	0.00815279896335367	1.907010120301966	0.15442584851559793	3.791963307222587e-08	2.8931131726031324e-08	7.967394877457695e-09	3.6311908937621173
LGE_4.35UP_10DOWN	0.06111429002313141	0.11261139188205063	0.008574462105903647	1.842636015888066	0.14030208160249039	2.0921549678358967e-08	2.777562546695186e-08	7.319591742443755e-09	3.7946959945717618
LGE_5.0UP_0DOWN	0.053246021453210696	0.09019157885244106	0.008291033528298653	1.6938651262741917	0.15571179408370067	2.2128108373096923e-05	1.680517336262646e-08	8.434485390413507e-09	1.9924361220338276
LGE_5.100UP_100DOWN	0.11668569820063515	0.1609176891674484	0.010434592951258223	1.3790695145068985	0.08942478051865849	4.372113330021438e-05	9.834149730199254e-09	5.031430395778325e-09	1.9545435306927232
LGE_5.10UP_10DOWN	0.05984473824637122	0.09933779895693659	0.008783480504688475	1.6599253646657917	0.1467711408232465	1.851895218056011e-05	1.6615828784331667e-08	7.95014966785986e-09	2.0900020098369496
LGE_5.35UP_10DOWN	0.06825870606705843	0.10968069547039834	0.009121383352662896	1.606838186511275	0.1336295965484887	1.4986761054287194e-05	1.5731428645055378e-08	7.246521798910252e-09	2.170893717234261
LGE_6.0UP_0DOWN	0.03027263657956448	0.052445480108021934	0.004817897568227588	1.7324384670024155	0.15915024631451846	4.0943909675509205e-06	7.853832078131088e-09	8.15978836019263e-09	0.9625043850948214
LGE_6.100UP_100DOWN	0.08908921905958221	0.12524061048565951	0.00951410144849833	1.4057886218746571	0.10679296046062957	0.00014539292264015914	9.029666221550565e-09	5.645861719428519e-09	1.5993424334991608
LGE_6.10UP_10DOWN	0.036381851247383266	0.06274209429208089	0.005763230088547145	1.724543753022836	0.15840947865349925	4.731966727521348e-06	1.1157790195580216e-08	8.044513939832928e-09	1.3870061359868744
LGE_6.35UP_10DOWN	0.044269746873049354	0.07369371297758415	0.006936696881569384	1.6646517810213093	0.15669158672764683	2.2787062980231487e-05	1.2155536072690371e-08	7.969773116958943e-09	1.525204782407734
LGE_7.0UP_0DOWN	0.02245888760893645	0.03400509650298014	0.004526125542990316	1.51410421990132	0.20152937321745884	0.010812630063554665	7.240542424404931e-10	1.0390591022325787e-08	0.06968364368155294
LGE_7.100UP_100DOWN	0.06528747178191355	0.08311336598808249	0.008050370272535079	1.2730369812100337	0.12330650969954171	0.027328213401089037	5.406852870005043e-10	6.374291243580349e-09	0.08482280873893817
LGE_7.10UP_10DOWN	0.02692999800877648	0.03951894221560486	0.005145608543142049	1.4674691844658008	0.19107348398113866	0.014509030167445685	1.2291598731684667e-09	9.784967036811161e-09	0.1256171705580972
LGE_7.35UP_10DOWN	0.03240158499379064	0.04650414529089976	0.005811545214752593	1.4352429148083867	0.1793599052597675	0.015435401751299708	1.870537533531197e-09	9.15996325996285e-09	0.20420797337769922
MGE_0.0UP_0DOWN	0.039351072501169655	0.07376596588062363	0.0062028849340282355	1.874560493324065	0.15762937423989812	6.606812942738158e-08	1.7132953487552843e-08	8.123084218509231e-09	2.109168516130087
MGE_0.100UP_100DOWN	0.10367145046793752	0.15332698217177493	0.00954325418404268	1.4789701646857385	0.09205286644459675	4.846755845164772e-07	1.248381863953783e-08	5.201972177126188e-09	2.3998241848410795
