# TOTAL_GENES = 17883
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1396        0.152     0.040778     0.050114    0.0012128
CGE_1               SET    1395       0.1559      0.04181     0.050454    0.0010032
CGE_2               SET    1377    -0.088786     -0.02367     0.051243      0.95841
CGE_3               SET    1404      0.19344     0.052032     0.050368   6.1678e-05
LGE_0               SET    1402      0.17084     0.045923     0.051133   0.00041832
LGE_1               SET    1403    -0.091001     -0.02447     0.051222      0.96217
LGE_2               SET    1403     0.013571     0.003649     0.050488      0.39405
LGE_3               SET    1396    -0.071945    -0.019301     0.051478      0.91887
LGE_4               SET    1410     0.070085     0.018888     0.050594     0.083002
LGE_5               SET    1408     -0.03045   -0.0082011      0.05073      0.72582
LGE_6               SET    1415     0.074772     0.020184     0.051044     0.071492
LGE_7               SET    1390     0.057032      0.01527     0.051198      0.13266
MGE_0               SET    1392      0.12163     0.032588     0.051646    0.0092668
MGE_1               SET    1384       0.1714       0.0458     0.050984   0.00038834
MGE_2               SET    1390       -0.211    -0.056495     0.051293      0.99998
MGE_3               SET    1385   -0.0068933   -0.0018426     0.051442       0.5533
MGE_4               SET    1396      0.17008     0.045629     0.051549   0.00048573
MGE_5               SET    1391   -0.0010545  -0.00028244     0.050963      0.50825
Other               SET    1423      0.01381    0.0037374     0.050276      0.39178
Progenitor_0        SET    1408     0.090752     0.024442     0.050925      0.03738
Progenitor_1        SET    1409      0.11827     0.031864     0.049448    0.0083897
Progenitor_10       SET    1414     0.061439      0.01658     0.050261      0.11079
Progenitor_2        SET    1414     0.076545     0.020656     0.049727     0.061879
Progenitor_3        SET    1409     0.094961     0.025584     0.049737     0.028125
Progenitor_4        SET    1412      0.11407     0.030762      0.05081     0.012392
Progenitor_5        SET    1406     0.064872     0.017461     0.051017      0.10177
Progenitor_6        SET    1403     0.079424     0.021357     0.050971     0.059601
Progenitor_7        SET    1413     0.083633     0.022562     0.050199     0.047864
Progenitor_8        SET    1409      0.14833     0.039962     0.050568    0.0016803
Progenitor_9        SET    1403     0.096207     0.025869     0.051511     0.030914
