# TOTAL_GENES = 17883
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1396       0.1496     0.040135     0.049847    0.0013471
CGE_1               SET    1395      0.14683     0.039379     0.050187    0.0017212
CGE_2               SET    1377    -0.089429    -0.023842      0.05097      0.96032
CGE_3               SET    1404      0.18872     0.050762     0.050101   8.3044e-05
LGE_0               SET    1402      0.16908      0.04545      0.05086    0.0004442
LGE_1               SET    1403    -0.093396    -0.025113     0.050949       0.9666
LGE_2               SET    1403     0.014443    0.0038835     0.050219      0.38683
LGE_3               SET    1396    -0.080645    -0.021635     0.051203      0.94236
LGE_4               SET    1410     0.057488     0.015493     0.050326      0.12667
LGE_5               SET    1408     -0.03387   -0.0091222      0.05046      0.74896
LGE_6               SET    1415     0.073155     0.019748     0.050773     0.074827
LGE_7               SET    1390     0.046192     0.012368     0.050926       0.1822
MGE_0               SET    1392      0.11453     0.030686     0.051372     0.012901
MGE_1               SET    1384      0.17361     0.046392     0.050712   0.00031004
MGE_2               SET    1390      -0.2064    -0.055264     0.051021      0.99997
MGE_3               SET    1385   -0.0072421   -0.0019359     0.051168      0.55628
MGE_4               SET    1396      0.16428     0.044072     0.051275   0.00067965
MGE_5               SET    1391    -0.012118   -0.0032456     0.050691      0.59446
Other               SET    1423     0.017559    0.0047522     0.050008      0.36275
Progenitor_0        SET    1408     0.097737     0.026324     0.050653     0.026842
Progenitor_1        SET    1409      0.12372     0.033333     0.049183    0.0059481
Progenitor_10       SET    1414     0.060094     0.016217     0.049993      0.11468
Progenitor_2        SET    1414     0.089383      0.02412     0.049461     0.035381
Progenitor_3        SET    1409      0.10186     0.027443     0.049471     0.019756
Progenitor_4        SET    1412      0.11127     0.030008      0.05054     0.013852
Progenitor_5        SET    1406     0.069452     0.018693     0.050745     0.085565
Progenitor_6        SET    1403      0.07868     0.021157     0.050699     0.060354
Progenitor_7        SET    1413     0.076983     0.020768     0.049932     0.061578
Progenitor_8        SET    1409      0.14086     0.037949       0.0503    0.0025563
Progenitor_9        SET    1403     0.087803      0.02361     0.051238      0.04331
