# TOTAL_GENES = 17855
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1027      0.12114     0.028206     0.055611       0.0147
CGE_1               SET     979      0.13072     0.029758     0.056457     0.010305
CGE_2               SET     961      -0.1308    -0.029517     0.058409      0.98742
CGE_3               SET     997       0.1398       0.0321     0.058325    0.0082736
LGE_0               SET     994     0.099228     0.022752     0.057863     0.043195
LGE_1               SET    1039   -0.0012647  -0.00029608     0.057692      0.50874
LGE_2               SET    1004     0.013009     0.002997     0.057817      0.41099
LGE_3               SET    1073    -0.081779    -0.019437     0.056284      0.92688
LGE_4               SET     976    -0.028691   -0.0065222     0.057389      0.69144
LGE_5               SET     985    -0.049422    -0.011284     0.058841      0.79952
LGE_6               SET     936      0.13563     0.030229     0.060235     0.012181
LGE_7               SET     653     0.015357    0.0028828     0.067889      0.41052
MGE_0               SET    1037     0.089595     0.020956     0.056562     0.056607
MGE_1               SET    1014       0.1028     0.023792     0.055116     0.031097
MGE_2               SET    1113     -0.24611    -0.059503      0.05498            1
MGE_3               SET    1004  -0.00073392  -0.00016908     0.057871      0.50506
MGE_4               SET     946      0.12739     0.028535     0.058107     0.014187
MGE_5               SET     983     0.018447    0.0042077     0.057391      0.37395
Other               SET    1294    0.0019084    0.0004948     0.050444      0.48491
Progenitor_0        SET    1164      0.11923     0.029435     0.052106     0.011069
Progenitor_1        SET    1160      0.10198     0.025135     0.052576     0.026224
Progenitor_10       SET    1070   0.00057997   0.00013766     0.055925      0.49586
Progenitor_2        SET    1242     0.067789     0.017246     0.050502     0.089758
Progenitor_3        SET    1244     0.091121       0.0232     0.051676     0.038934
Progenitor_4        SET    1046     0.097046     0.022791     0.055535     0.040289
Progenitor_5        SET    1101      0.14521     0.034931     0.053217    0.0031833
Progenitor_6        SET    1063       0.0266    0.0062944     0.055031      0.31442
Progenitor_7        SET    1163    -0.026133   -0.0064489     0.053369      0.68781
Progenitor_8        SET    1171      0.08158     0.020196     0.053025      0.06197
Progenitor_9        SET    1050      0.12569      0.02957     0.054144     0.010141
