# TOTAL_GENES = 17971
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     947       0.1258     0.028108      0.06016     0.018267
CGE_1               SET     943      0.10661     0.023773     0.059932     0.037643
CGE_2               SET     935     -0.15246     -0.03386     0.060257      0.99429
CGE_3               SET     947      0.11758     0.026271     0.062088     0.029139
LGE_0               SET     951     0.084208     0.018852     0.062121     0.087631
LGE_1               SET     958    -0.056143    -0.012613     0.060901      0.82169
LGE_2               SET     965   -0.0021924  -0.00049423     0.061046      0.51432
LGE_3               SET     950    -0.092264    -0.020645     0.061965      0.93174
LGE_4               SET     956   -0.0084745   -0.0019019     0.060116      0.55605
LGE_5               SET     958    -0.068452    -0.015378     0.060385      0.87151
LGE_6               SET     955     0.075342     0.016901     0.061214      0.10921
LGE_7               SET     944     0.027593     0.006156     0.061023      0.32557
MGE_0               SET     945      0.12006     0.026798     0.061397     0.025277
MGE_1               SET     936      0.14422     0.032045     0.061466    0.0094881
MGE_2               SET     938     -0.23757    -0.052842     0.061652      0.99994
MGE_3               SET     928     0.030039    0.0066476     0.061674      0.31311
MGE_4               SET     944      0.15657      0.03493     0.061303    0.0053298
MGE_5               SET     947    -0.063902    -0.014278     0.059324      0.85929
Other               SET     963     0.017415     0.003922     0.059153      0.38423
Progenitor_0        SET     959     0.080805     0.018162     0.060514     0.090896
Progenitor_1        SET     961      0.13442     0.030242     0.058905     0.011255
Progenitor_10       SET     970     0.051477     0.011632     0.059248      0.19248
Progenitor_2        SET     956     0.085943     0.019288     0.059961     0.075897
Progenitor_3        SET     952      0.11618     0.026023      0.06164     0.029739
Progenitor_4        SET     963      0.14279     0.032158     0.060609    0.0092443
Progenitor_5        SET     949     0.081753     0.018285     0.062175     0.094286
Progenitor_6        SET     954     0.071052     0.015931     0.060568      0.12039
Progenitor_7        SET     957     0.085506       0.0192     0.059494     0.075337
Progenitor_8        SET     959      0.17495     0.039322     0.059962    0.0017666
Progenitor_9        SET     944  -0.00076175  -0.00016994     0.061881      0.50491
