# TOTAL_GENES = 18199
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     952     0.098893     0.022019     0.063421     0.059477
CGE_1               SET     946      0.09851     0.021869     0.062278     0.056864
CGE_2               SET     945    0.0019831   0.00044001     0.063578      0.48756
CGE_3               SET     961     0.071319      0.01595     0.063709      0.13149
LGE_0               SET     938     0.015036    0.0033245     0.063088      0.40582
LGE_1               SET     971   -0.0058246    -0.001309     0.061103      0.53797
LGE_2               SET     969    0.0078876     0.001771      0.06251      0.44979
LGE_3               SET    1013   -0.0019413   -0.0004451     0.062626      0.51236
LGE_4               SET     957    -0.063031    -0.014069     0.063006      0.84143
LGE_5               SET     987    -0.057091     -0.01293      0.06263      0.81899
LGE_6               SET     959     0.026847    0.0059984     0.063206      0.33551
LGE_7               SET     712     0.045384    0.0087997      0.07372      0.26907
MGE_0               SET     915     0.029101    0.0063592     0.063605      0.32365
MGE_1               SET     912      0.16395     0.035772     0.064439    0.0054816
MGE_2               SET    1022     -0.14453    -0.033275     0.060721      0.99134
MGE_3               SET     941     0.012613     0.002793     0.064385      0.42235
MGE_4               SET     917      0.12133      0.02654     0.063538     0.028109
MGE_5               SET    1000     0.010435    0.0023779     0.061279       0.4324
Other               SET    1117    0.0042486    0.0010198     0.058388        0.471
Progenitor_0        SET    1058     0.066051     0.015456     0.061314      0.14069
Progenitor_1        SET    1094     0.067631     0.016076     0.060128      0.13035
Progenitor_10       SET    1095    0.0068982    0.0016404     0.058563      0.45312
Progenitor_2        SET    1125     0.095476     0.022993     0.058867     0.052428
Progenitor_3        SET    1170     0.036125    0.0088606     0.057619      0.26535
Progenitor_4        SET    1026     0.026873    0.0061983     0.061539      0.33118
Progenitor_5        SET    1077     0.073771     0.017407     0.061755      0.11614
Progenitor_6        SET    1045    -0.052237    -0.012153     0.061259      0.80309
Progenitor_7        SET    1110     0.046766     0.011192     0.058407      0.21166
Progenitor_8        SET    1108     0.017402    0.0041613     0.058874      0.38378
Progenitor_9        SET    1072     0.033459    0.0078779     0.059936      0.28835
