# TOTAL_GENES = 18195
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1412      0.13025     0.034849     0.032284     2.75e-05
CGE_1               SET    1415      0.15822     0.042373      0.03286   7.4367e-07
CGE_2               SET    1394      0.16869      0.04487      0.03276   1.3248e-07
CGE_3               SET    1416      0.11337     0.030372     0.032654   0.00025918
LGE_0               SET    1422      0.16689     0.044797     0.033132    2.391e-07
LGE_1               SET    1413      0.17857     0.047794     0.033622   5.5273e-08
LGE_2               SET    1417      0.17317     0.046407      0.03317   9.0373e-08
LGE_3               SET    1408      0.11509     0.030754     0.033628   0.00031099
LGE_4               SET    1426      0.15271     0.041043     0.032947    1.801e-06
LGE_5               SET    1420     0.056179      0.01507     0.033256     0.045591
LGE_6               SET    1423      0.17649      0.04739     0.033074   4.8141e-08
LGE_7               SET    1401      0.06587     0.017561     0.032034     0.019889
MGE_0               SET    1404      0.14457      0.03858     0.033432   7.7016e-06
MGE_1               SET    1397      0.13877     0.036946     0.032953   1.2789e-05
MGE_2               SET    1399      0.16789      0.04473     0.033408   2.5411e-07
MGE_3               SET    1397      0.17461      0.04649     0.033975   1.3961e-07
MGE_4               SET    1415      0.12197     0.032664     0.033835    0.0001568
MGE_5               SET    1401      0.10028     0.026735     0.033151    0.0012455
Other               SET    1433     -0.06845    -0.018438     0.032258      0.98307
Progenitor_0        SET    1420     0.062401     0.016739     0.032336     0.026826
Progenitor_1        SET    1416    0.0042911    0.0011496     0.032464      0.44742
Progenitor_10       SET    1425     0.006571    0.0017655     0.033258      0.42169
Progenitor_2        SET    1426    0.0079799    0.0021447     0.031922       0.4013
Progenitor_3        SET    1422     -0.04294    -0.011526     0.032296      0.90816
Progenitor_4        SET    1425    -0.018073   -0.0048557     0.032646      0.71007
Progenitor_5        SET    1423    0.0061948    0.0016633     0.032644      0.42475
Progenitor_6        SET    1411    0.0091184    0.0024389     0.032635      0.38997
Progenitor_7        SET    1421    -0.035064    -0.009409     0.032604      0.85891
Progenitor_8        SET    1420     -0.10027    -0.026896      0.03307      0.99878
Progenitor_9        SET    1420     0.024906     0.006681     0.032778      0.22368
