# TOTAL_GENES = 18195
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1412      0.13025      0.03485     0.032284   2.7484e-05
CGE_1               SET    1415      0.15822     0.042374     0.032859   7.4319e-07
CGE_2               SET    1394       0.1687     0.044872      0.03276   1.3228e-07
CGE_3               SET    1416      0.11336      0.03037     0.032654   0.00025931
LGE_0               SET    1422       0.1669     0.044799     0.033132   2.3892e-07
LGE_1               SET    1413      0.17858     0.047796     0.033622   5.5214e-08
LGE_2               SET    1417      0.17317     0.046407     0.033169   9.0343e-08
LGE_3               SET    1408       0.1151     0.030757     0.033628   0.00031066
LGE_4               SET    1426      0.15271     0.041043     0.032947   1.8003e-06
LGE_5               SET    1420     0.056183     0.015071     0.033256     0.045581
LGE_6               SET    1423       0.1765     0.047391     0.033074   4.8103e-08
LGE_7               SET    1401     0.065862     0.017559     0.032034       0.0199
MGE_0               SET    1404      0.14458     0.038583     0.033432   7.6913e-06
MGE_1               SET    1397      0.13876     0.036945     0.032953   1.2801e-05
MGE_2               SET    1399       0.1679     0.044732     0.033408   2.5377e-07
MGE_3               SET    1397      0.17462     0.046492     0.033975   1.3944e-07
MGE_4               SET    1415      0.12197     0.032665     0.033835   0.00015672
MGE_5               SET    1401      0.10028     0.026734     0.033151    0.0012456
Other               SET    1433    -0.068449    -0.018438     0.032258      0.98307
Progenitor_0        SET    1420     0.062401     0.016739     0.032336     0.026826
Progenitor_1        SET    1416    0.0042919    0.0011498     0.032464      0.44741
Progenitor_10       SET    1425     0.006571    0.0017655     0.033258      0.42169
Progenitor_2        SET    1426    0.0079804    0.0021449     0.031922       0.4013
Progenitor_3        SET    1422    -0.042941    -0.011526     0.032296      0.90817
Progenitor_4        SET    1425    -0.018074    -0.004856     0.032645      0.71008
Progenitor_5        SET    1423    0.0061958    0.0016636     0.032644      0.42473
Progenitor_6        SET    1411    0.0091187     0.002439     0.032635      0.38997
Progenitor_7        SET    1421    -0.035065   -0.0094092     0.032604      0.85892
Progenitor_8        SET    1420     -0.10027    -0.026896      0.03307      0.99878
Progenitor_9        SET    1420     0.024908    0.0066815     0.032778      0.22366
