# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1046       0.1195     0.027751     0.037668   0.00075743
CGE_1               SET    1002      0.13444     0.030596     0.038787    0.0002648
CGE_2               SET     980      0.16556     0.037287     0.039361   1.3058e-05
CGE_3               SET    1010      0.10581      0.02417     0.038698    0.0031312
LGE_0               SET    1014      0.13651     0.031242     0.038865   0.00022273
LGE_1               SET    1049      0.19148     0.044528     0.038494   3.3105e-07
LGE_2               SET    1019      0.16077     0.036879      0.03864   1.5955e-05
LGE_3               SET    1087      0.11242     0.026582     0.038401    0.0017112
LGE_4               SET     991      0.15382     0.034824     0.039195   4.3686e-05
LGE_5               SET     999     0.075349     0.017124     0.039499      0.02823
LGE_6               SET     950      0.15873     0.035228     0.039533   2.9847e-05
LGE_7               SET     662    0.0075951    0.0014187     0.046168      0.43467
MGE_0               SET    1050      0.15621     0.036341     0.038474   2.4655e-05
MGE_1               SET    1027     0.066758      0.01537     0.038127     0.039988
MGE_2               SET    1125      0.15328     0.036832     0.037075   1.7893e-05
MGE_3               SET    1018      0.13346       0.0306      0.03955   0.00037079
MGE_4               SET     963      0.12825     0.028646     0.040674   0.00080925
MGE_5               SET     995      0.10979     0.024903     0.039105    0.0025003
Other               SET    1308    -0.093808    -0.024175     0.034067      0.99705
Progenitor_0        SET    1177       0.0308    0.0075585     0.036229      0.19762
Progenitor_1        SET    1171    -0.041285    -0.010107     0.035609      0.87685
Progenitor_10       SET    1082    0.0049981    0.0011793     0.037677      0.44723
Progenitor_2        SET    1255     0.015918    0.0040246     0.035011      0.32468
Progenitor_3        SET    1261    -0.049526    -0.012549     0.034951      0.92175
Progenitor_4        SET    1055    -0.062508    -0.014575     0.037092      0.95401
Progenitor_5        SET    1120    -0.015114   -0.0036242     0.037449      0.65674
Progenitor_6        SET    1073    -0.042156   -0.0099076     0.037032      0.87251
Progenitor_7        SET    1172    -0.023356   -0.0057204     0.035408      0.74525
Progenitor_8        SET    1185     -0.12181    -0.029987     0.035709      0.99968
Progenitor_9        SET    1069  -0.00047132  -0.00011058     0.037476      0.50502
