# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     960       0.1182     0.026361     0.039255    0.0013043
CGE_1               SET     959      0.14542     0.032418     0.039671   0.00012375
CGE_2               SET     948      0.17589     0.038997       0.0399   5.2476e-06
CGE_3               SET     957      0.10702     0.023833     0.039783    0.0035763
LGE_0               SET     965      0.13447     0.030065     0.039996   0.00038767
LGE_1               SET     964      0.19947     0.044575     0.040224   3.5848e-07
LGE_2               SET     972       0.1623      0.03641     0.039591   2.0831e-05
LGE_3               SET     957      0.12834     0.028581     0.040908   0.00085461
LGE_4               SET     966      0.15617     0.034934     0.039698   4.1973e-05
LGE_5               SET     966     0.068126     0.015239     0.040044     0.044453
LGE_6               SET     962      0.16159     0.036074     0.039186   1.8759e-05
LGE_7               SET     951     0.024007    0.0053306     0.038983      0.26901
MGE_0               SET     953      0.15617     0.034711     0.039905   4.5676e-05
MGE_1               SET     945      0.07671     0.016982     0.039861     0.027159
MGE_2               SET     947      0.16024     0.035509     0.040218   3.4004e-05
MGE_3               SET     938      0.13236       0.0292     0.040753   0.00058258
MGE_4               SET     957      0.12794     0.028493     0.040746    0.0008464
MGE_5               SET     953     0.096426     0.021432     0.039866    0.0077928
Other               SET     971     -0.12721    -0.028524     0.039384      0.99938
Progenitor_0        SET     966    0.0076631    0.0017141     0.039826      0.42371
Progenitor_1        SET     966    -0.048031    -0.010744     0.039236      0.88954
Progenitor_10       SET     977    0.0064856    0.0014585     0.039373      0.43458
Progenitor_2        SET     963  -0.00019325  -4.3164e-05     0.039679      0.50194
Progenitor_3        SET     962    -0.054277    -0.012117      0.03996       0.9128
Progenitor_4        SET     971    -0.064542    -0.014473     0.038425      0.95348
Progenitor_5        SET     960    -0.005317   -0.0011859     0.040295      0.55249
Progenitor_6        SET     961    -0.054352    -0.012128     0.038946      0.91857
Progenitor_7        SET     962    -0.044838     -0.01001     0.039301      0.87303
Progenitor_8        SET     965     -0.13576    -0.030354     0.039373      0.99972
Progenitor_9        SET     960     0.014789    0.0032983     0.039457      0.35391
