# TOTAL_GENES = 17877
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1408     0.033336    0.0089798     0.029329      0.12785
CGE_1               SET    1408     0.041438     0.011162     0.029071     0.077032
CGE_2               SET    1384     0.075147     0.020084     0.029723    0.0057368
CGE_3               SET    1402   0.00030564    8.217e-05     0.028352       0.4957
LGE_0               SET    1395     0.059352      0.01592     0.029358     0.021615
LGE_1               SET    1408      0.11892     0.032034     0.029823   3.3517e-05
LGE_2               SET    1413     0.058596      0.01581      0.02917      0.02229
LGE_3               SET    1412     0.082137     0.022154     0.029507    0.0026909
LGE_4               SET    1411     0.070967     0.019135     0.029469     0.008021
LGE_5               SET    1413     0.041374     0.011163     0.030257     0.085755
LGE_6               SET    1410     0.066637     0.017962     0.029524     0.012008
LGE_7               SET    1388     0.032152    0.0086042     0.028156      0.12675
MGE_0               SET    1396     0.036629    0.0098282     0.029094      0.10403
MGE_1               SET    1378     0.046801     0.012483     0.029183     0.054395
MGE_2               SET    1401      0.12939     0.034775     0.030553   1.1488e-05
MGE_3               SET    1385     0.093109     0.024893     0.029615   0.00083472
MGE_4               SET    1404     0.043716     0.011761     0.029201     0.067201
MGE_5               SET    1406     0.065116     0.017529     0.029855     0.014597
Other               SET    1416    -0.087994    -0.023764     0.029184      0.99871
Progenitor_0        SET    1412     0.010784    0.0029086     0.028242      0.35129
Progenitor_1        SET    1407    -0.032346   -0.0087102      0.02883      0.86905
Progenitor_10       SET    1413    -0.048422    -0.013065     0.030112      0.94608
Progenitor_2        SET    1410     0.022216    0.0059882     0.027963      0.21347
Progenitor_3        SET    1417    -0.040453    -0.010929     0.028744      0.92033
Progenitor_4        SET    1419    -0.017485   -0.0047267     0.028464      0.73048
Progenitor_5        SET    1417     0.010664    0.0028809     0.028567      0.35447
Progenitor_6        SET    1403    -0.011112   -0.0029884     0.029679      0.64594
Progenitor_7        SET    1408    -0.010387   -0.0027979     0.029901      0.63584
Progenitor_8        SET    1409    -0.080288    -0.021634     0.029845      0.99643
Progenitor_9        SET    1416    -0.030102   -0.0081297     0.028614      0.85359
