# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2           SET      1    1394      0.15445     0.040987      0.03304   1.4852e-06
skene_InN       SET      1    1329      0.13505     0.035059     0.034578   4.7228e-05
CGE_2           SET      2    1394      0.15453     0.041009     0.032933   1.3623e-06
skene_MSN       SET      2    1355       0.2008     0.052596     0.034124    2.042e-09
CGE_2           SET      3    1394      0.12679     0.033647     0.035352   0.00016809
CGE_1           SET      3    1415       0.1095     0.029257     0.035455    0.0010082
CGE_2           SET      4    1394      0.13557     0.035977     0.033872   3.1495e-05
LGE_0           SET      4    1422        0.132      0.03535     0.034255    5.846e-05
CGE_2           SET      5    1394      0.13825     0.036688     0.033584   1.9339e-05
LGE_2           SET      5    1417      0.14243      0.03808     0.034004   1.4127e-05
CGE_2           SET      6    1394      0.13963     0.037053     0.033808   1.8245e-05
LGE_4           SET      6    1426       0.1181     0.031669     0.033995   0.00025698
CGE_2           SET      7    1394      0.13831     0.036702     0.033676   2.0154e-05
MGE_2           SET      7    1399      0.13509     0.035909      0.03434   4.1955e-05
CGE_2           SET      8    1394      0.12147     0.032234      0.03549   0.00031097
MGE_3           SET      8    1397      0.12515     0.033244     0.036805   0.00033745
