# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_0 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_0           SET      1    1420      0.13647      0.03657      0.03146   7.2425e-06
skene_InN       SET      1    1328      0.11205     0.029117     0.032886   0.00032893
LGE_0           SET      2    1420       0.1381     0.037007     0.031406   5.5199e-06
skene_MSN       SET      2    1355      0.15619     0.040965     0.032011   5.3763e-07
LGE_0           SET      3    1420       0.1042     0.027923     0.034304    0.0011946
CGE_1           SET      3    1413     0.095205     0.025455     0.033928    0.0025104
LGE_0           SET      4    1420      0.11995     0.032144     0.032289   0.00010197
CGE_2           SET      4    1394     0.098036     0.026049     0.032013    0.0010998
LGE_0           SET      5    1420      0.12167     0.032604     0.031763   6.4209e-05
LGE_2           SET      5    1414       0.1436     0.038406     0.032585   5.2793e-06
LGE_0           SET      6    1420      0.13163     0.035273     0.031504    1.477e-05
LGE_4           SET      6    1425      0.13689     0.036741     0.031588   7.3826e-06
LGE_0           SET      7    1420      0.13688     0.036679      0.03142   6.6535e-06
MGE_2           SET      7    1399      0.15004     0.039934     0.032234   1.6349e-06
LGE_0           SET      8    1420       0.1223     0.032773     0.032048   6.8049e-05
MGE_3           SET      8    1395      0.10395      0.02763      0.03223   0.00063055
