# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN       SET      1    1329      0.13346     0.034646     0.034529   5.5768e-05
skene_MSN       SET      1    1355      0.19976     0.052325     0.034186   2.6127e-09
skene_InN       SET      2    1329      0.14448     0.037508     0.034484   1.4044e-05
CGE_1           SET      2    1002      0.12569     0.028604     0.038821   0.00060414
skene_InN       SET      3    1329      0.13594     0.035291     0.034648   4.3867e-05
CGE_2           SET      3     980      0.14813     0.033361     0.039591   9.1837e-05
skene_InN       SET      4    1329      0.14108     0.036625     0.034477   2.1506e-05
LGE_1           SET      4    1049      0.18239     0.042413     0.038537   1.1177e-06
skene_InN       SET      5    1329      0.14368       0.0373     0.034471   1.5444e-05
LGE_2           SET      5    1019      0.15271      0.03503     0.038666    3.936e-05
skene_InN       SET      6    1329      0.14205     0.036876     0.034508   1.9358e-05
LGE_4           SET      6     991      0.14296     0.032366     0.039262   0.00013622
skene_InN       SET      7    1329       0.1367     0.035488     0.034633   3.9739e-05
MGE_2           SET      7    1125      0.13739     0.033013     0.037274   0.00011435
skene_InN       SET      8    1329      0.13794     0.035809     0.034718    3.566e-05
MGE_3           SET      8    1018      0.11333     0.025985     0.039853    0.0022331
