# TOTAL_GENES = 18195
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN       SET      1    1328      0.13437     0.034952     0.034378   4.6629e-05
skene_MSN       SET      1    1355       0.2019     0.053007     0.034036   1.5311e-09
skene_InN       SET      2    1328       0.1439     0.037432     0.034312   1.3791e-05
CGE_1           SET      2    1415      0.15152      0.04058      0.03288   2.0465e-06
skene_InN       SET      3    1328      0.13596     0.035365     0.034428   3.9414e-05
CGE_2           SET      3    1394      0.15629      0.04157     0.032895   1.0212e-06
skene_InN       SET      4    1328      0.14421     0.037513     0.034303   1.3185e-05
LGE_0           SET      4    1422      0.16072      0.04314     0.033146    6.276e-07
skene_InN       SET      5    1328      0.14135     0.036768      0.03433   1.9262e-05
LGE_2           SET      5    1417      0.16496     0.044209     0.033211   3.4372e-07
skene_InN       SET      6    1328      0.14056     0.036562      0.03437   2.1724e-05
LGE_4           SET      6    1426      0.14269      0.03835     0.033021   7.8136e-06
skene_InN       SET      7    1328      0.13324     0.034658      0.03451   5.6756e-05
MGE_2           SET      7    1399      0.15265      0.04067     0.033624   2.8361e-06
skene_InN       SET      8    1328      0.13261     0.034494     0.034513    6.124e-05
MGE_3           SET      8    1397      0.15903     0.042342     0.034199   1.6725e-06
