# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN       SET      1    1355      0.13828     0.036143     0.032838   1.2821e-05
skene_InN       SET      1    1331     0.065748     0.017044      0.03483     0.029548
skene_MSN       SET      2    1355       0.1382     0.036123      0.03275    1.232e-05
CGE_1           SET      2    1416      0.11061     0.029502      0.03434   0.00064055
skene_MSN       SET      3    1355      0.13434     0.035114     0.032837   2.1628e-05
CGE_2           SET      3    1397      0.10519     0.027883     0.033228   0.00077572
skene_MSN       SET      4    1355      0.14152     0.036989     0.032732   7.7504e-06
LGE_0           SET      4    1425     0.068699     0.018376     0.033384     0.019814
skene_MSN       SET      5    1355      0.13829     0.036145     0.032888   1.3178e-05
LGE_2           SET      5    1421     0.051225     0.013685     0.032249     0.056113
skene_MSN       SET      6    1355      0.12565     0.032843     0.033164   7.6105e-05
LGE_4           SET      6    1427      0.10913      0.02921     0.033442   0.00055252
skene_MSN       SET      7    1355      0.13039      0.03408      0.03292   3.7613e-05
MGE_2           SET      7    1399       0.1151     0.030531     0.032872   0.00023216
skene_MSN       SET      8    1355       0.1328      0.03471     0.032849   2.6617e-05
MGE_3           SET      8    1398      0.11608     0.030779     0.033229   0.00023953
