# TOTAL_GENES = 18195
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN       SET      1    1355       0.2019     0.053007     0.034036   1.5311e-09
skene_InN       SET      1    1328      0.13437     0.034952     0.034378   4.6629e-05
skene_MSN       SET      2    1355      0.20502     0.053828     0.033956   8.0011e-10
CGE_1           SET      2    1415      0.14768     0.039551     0.032866   3.5315e-06
skene_MSN       SET      3    1355       0.2029     0.053269     0.033973   1.1979e-09
CGE_2           SET      3    1394      0.15633     0.041581     0.032787   9.3943e-07
skene_MSN       SET      4    1355      0.20713      0.05438     0.033928   5.2752e-10
LGE_0           SET      4    1422      0.15947     0.042804     0.033113   7.4043e-07
skene_MSN       SET      5    1355      0.19768       0.0519      0.03407   3.3417e-09
LGE_2           SET      5    1417      0.15427     0.041343     0.033292   1.8096e-06
skene_MSN       SET      6    1355       0.1952     0.051248     0.034239   6.0744e-09
LGE_4           SET      6    1426       0.1267     0.034052     0.033227   6.8882e-05
skene_MSN       SET      7    1355       0.1998     0.052455     0.034037   2.2284e-09
MGE_2           SET      7    1399      0.15074      0.04016     0.033497   3.4225e-06
skene_MSN       SET      8    1355      0.20254     0.053176     0.033979   1.2851e-09
MGE_3           SET      8    1397      0.16125     0.042932     0.034008    1.071e-06
